Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp,Previous_Tm,Previous_Opp,Previous_Streak
20231223,MIL,L,111,130,16,11,-1,NYK,False,100.8,0.53,10.7,26.33,0.23,118.1,104.03,0.53,10.17,16.33,0.22,113.43,"['Jalen Brunson', 'Julius Randle', 'Isaiah Hartenstein', 'RJ Barrett', 'Donte DiVincenzo']","['Josh Hart', 'Immanuel Quickley', 'Quentin Grimes', 'Taj Gibson', 'Ryan Arcidiacono', 'Charlie Brown Jr.', 'Miles McBride', 'Dmytro Skapintsev', 'Jacob Toppin', 'Evan Fournier']","['Brook Lopez', 'Damian Lillard', 'Khris Middleton', 'Giannis Antetokounmpo', 'Malik Beasley']","['Bobby Portis', 'Pat Connaughton', 'Cameron Payne', 'Andre Jackson Jr.', 'MarJon Beauchamp', 'A.J. Green', 'Chris Livingston', 'Thanasis Antetokounmpo', 'Robin Lopez']",14.31,16.33,2.57,3.13,111.3,122.3,
20231223,GSW,L,106,126,7,20,-7,POR,False,99.77,0.54,11.87,27.9,0.21,117.27,95.37,0.55,9.53,22.67,0.21,121.83,"['Malcolm Brogdon', 'Anfernee Simons', 'Jerami Grant', 'Deandre Ayton', 'Toumani Camara']","['Scoot Henderson', 'Jabari Walker', 'Matisse Thybulle', 'Duop Reath', 'Kris Murray', 'Skylar Mays', 'Rayan Rupert', 'Ish Wainright', 'Moses Brown']","['Brandin Podziemski', 'Klay Thompson', 'Stephen Curry', 'Jonathan Kuminga', 'Kevon Looney']","['Chris Paul', 'Dario Šarić', 'Moses Moody', 'Trayce Jackson-Davis', 'Jerome Robinson', 'Gui Santos', 'Usman Garuba', 'Cory Joseph', 'Draymond Green']",12.82,12.48,4.31,5.15,107.0,128.3,
20231223,DET,W,126,115,13,15,1,BRK,False,97.53,0.53,12.37,31.9,0.17,115.77,102.73,0.63,13.53,25.27,0.19,127.37,"['Mikal Bridges', 'Spencer Dinwiddie', 'Nic Claxton', 'Cam Thomas', 'Cameron Johnson']","['Dorian Finney-Smith', ""Royce O'Neale"", 'Dennis Smith Jr.', ""Day'Ron Sharpe"", 'Jalen Wilson', 'Harry Giles', 'Trendon Watford']","['Bojan Bogdanović', 'Jaden Ivey', 'Cade Cunningham', 'Isaiah Stewart', 'Ausar Thompson']","['Kevin Knox', 'Alec Burks', 'Marvin Bagley III', 'Joe Harris', 'Marcus Sasser', 'Killian Hayes', 'Isaiah Livers', 'James Wiseman']",10.44,11.71,6.77,4.44,123.0,119.7,
20231223,DEN,L,95,102,7,19,-7,CHO,False,95.63,0.57,13.77,20.4,0.16,115.43,94.77,0.56,9.3,25.0,0.25,122.87,"['Nick Richards', 'Miles Bridges', 'Gordon Hayward', 'Ish Smith', 'Brandon Miller']","['P.J. Washington', 'Nick Smith Jr.', 'Bryce McGowens', 'Cody Martin', 'Nathan Mensah', 'Amari Bailey', 'Leaky Black', 'James Bouknight', 'Terry Rozier', 'JT Thor']","['Nikola Jokić', 'Jamal Murray', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Michael Porter Jr.']","['Christian Braun', 'Peyton Watson', 'Julian Strawther', 'Reggie Jackson', 'Zeke Nnaji', 'Collin Gillespie', 'Justin Holiday', 'Jay Huff', 'DeAndre Jordan', 'Hunter Tyson']",8.75,16.16,4.57,3.79,109.7,117.0,
20231223,MEM,L,119,125,12,16,-1,ATL,False,100.57,0.59,12.73,28.57,0.21,125.0,96.07,0.58,14.6,29.8,0.28,123.1,"['Trae Young', 'Saddiq Bey', 'Dejounte Murray', 'Clint Capela', 'Garrison Mathews']","['Bogdan Bogdanović', 'Onyeka Okongwu', 'Seth Lundy', 'Kobe Bufkin', 'Bruno Fernando', 'Trent Forrest', 'Vit Krejci', 'Wesley Matthews', 'Patty Mills']","['Desmond Bane', 'Ja Morant', 'Vince Williams Jr.', 'Bismack Biyombo', 'Jaren Jackson Jr.']","['Santi Aldama', 'Ziaire Williams', 'Xavier Tillman Sr.', 'John Konchar', 'Jacob Gilyard', 'GG Jackson II', 'Jake LaRavia', 'David Roddy']",14.45,10.45,4.24,4.45,114.0,118.7,
20231223,UTA,L,119,126,11,17,-1,TOR,False,95.43,0.56,13.53,22.7,0.16,112.5,98.83,0.55,13.67,27.23,0.15,115.7,"['Scottie Barnes', 'Pascal Siakam', 'OG Anunoby', 'Dennis Schröder', 'Jakob Poeltl']","['Gary Trent Jr.', 'Precious Achiuwa', 'Malachi Flynn', 'Chris Boucher', 'Gradey Dick', 'Jalen McDaniels', 'Jontay Porter', 'Otto Porter Jr.', 'Garrett Temple', 'Thaddeus Young']","['Lauri Markkanen', 'Kris Dunn', 'John Collins', 'Collin Sexton', 'Kelly Olynyk']","['Jordan Clarkson', 'Walker Kessler', 'Ochai Agbaji', 'Simone Fontecchio', 'Taylor Hendricks', 'Johnny Juzang', 'Luka Šamanić', 'Brice Sensabaugh', 'Omer Yurtseven']",12.35,12.31,3.97,4.89,122.0,120.3,
20231223,LAL,L,120,129,18,8,1,OKC,False,99.5,0.58,10.63,20.5,0.24,123.53,99.93,0.52,11.97,23.43,0.16,111.03,"['Shai Gilgeous-Alexander', 'Jalen Williams', 'Chet Holmgren', 'Luguentz Dort', 'Cason Wallace']","['Kenrich Williams', 'Isaiah Joe', 'Ousmane Dieng', 'Dāvis Bertāns', 'Aaron Wiggins', 'Jaylin Williams', 'Olivier Sarr', 'Tre Mann', 'Vasilije Micić', 'Lindy Waters III']","['Anthony Davis', 'LeBron James', 'Cam Reddish', 'Taurean Prince', 'Jarred Vanderbilt']","['Rui Hachimura', 'Austin Reaves', ""D'Angelo Russell"", 'Jaxson Hayes', 'Max Christie', 'Jalen Hood-Schifino', 'Maxwell Lewis', 'Christian Wood']",14.84,12.45,3.2,4.26,120.3,116.3,
20231223,CLE,L,95,109,13,17,-3,CHI,False,96.7,0.6,11.17,24.9,0.22,125.53,97.43,0.52,13.97,25.3,0.18,108.93,"['DeMar DeRozan', 'Coby White', 'Patrick Williams', 'Nikola Vučević', 'Alex Caruso']","['Ayo Dosunmu', 'Dalen Terry', 'Andre Drummond', 'Jevon Carter', 'Torrey Craig', 'Julian Phillips', 'Terry Taylor']","['Max Strus', 'Craig Porter Jr.', 'Dean Wade', 'Jarrett Allen', 'Isaac Okoro']","['Georges Niang', 'Tristan Thompson', 'Damian Jones', 'Emoni Bates', 'Caris LeVert', 'Sam Merrill', 'Isaiah Mobley']",14.02,10.44,4.92,5.82,108.3,115.0,
20231223,LAC,W,145,108,21,6,4,BOS,False,95.57,0.54,10.67,30.0,0.21,122.1,99.67,0.55,12.67,23.07,0.23,113.97,"['Jayson Tatum', 'Jaylen Brown', 'Derrick White', 'Jrue Holiday', 'Al Horford']","['Payton Pritchard', 'Neemias Queta', 'Sam Hauser', 'Oshae Brissett', 'Lamar Stevens', 'Dalano Banton', 'Drew Peterson', 'JD Davison', 'Jordan Walsh']","['Paul George', 'James Harden', 'Ivica Zubac', 'Terance Mann', 'Amir Coffey']","['Kobe Brown', 'Norman Powell', 'Daniel Theis', 'Russell Westbrook', 'Brandon Boston Jr.', 'Bones Hyland', 'P.J. Tucker']",17.07,13.21,4.24,5.5,97.0,104.7,
20231222,HOU,L,96,122,16,11,1,DAL,False,95.87,0.51,10.7,21.87,0.17,110.13,99.37,0.51,13.2,25.3,0.23,110.13,"['Tim Hardaway Jr.', 'Grant Williams', 'Jaden Hardy', 'Derrick Jones Jr.', 'Markieff Morris']","['Olivier-Maxence Prosper', 'A.J. Lawson', 'Richaun Holmes', 'Seth Curry', 'Dexter Dennis', 'Greg Brown III', 'Dwight Powell']","['Jabari Smith Jr.', 'Jalen Green', 'Fred VanVleet', 'Alperen Sengun', 'Dillon Brooks']","['Amen Thompson', ""Jae'Sean Tate"", 'Jock Landale', 'Aaron Holiday', 'Cam Whitmore', 'Nate Hinton', 'Jermaine Samuels', 'Jeff Green', 'Boban Marjanović']",7.53,16.91,1.96,3.06,120.3,111.7,
