Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
6,W,118,108,23,16,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,117.4,114.9,7.62,11.38,4.41,4.35
6,L,120,125,24,18,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,125.6,126.6,11.06,9.96,5.93,4.05
4,W,132,112,24,17,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,120.6,107.1,11.06,9.38,5.93,3.82
22,L,109,123,25,19,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-3.0,127.3,119.1,11.06,15.2,5.93,7.18
27,W,153,124,25,18,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,104.3,107.6,11.06,9.08,5.93,4.28
19,L,83,107,26,20,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,103.3,113.4,10.3,10.67,6.0,2.51
16,L,117,141,26,21,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-8.0,114.5,133.6,11.06,11.5,5.02,3.8
1,L,112,118,26,22,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,101.6,111.1,11.06,16.04,5.58,2.32
10,W,110,99,26,21,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,111.5,106.1,10.21,11.29,4.67,3.42
25,W,114,113,27,21,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,4.0,121.5,92.1,11.88,5.91,6.06,4.08
26,W,138,100,28,21,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,121.0,96.9,11.06,9.65,5.93,3.96
12,W,117,106,29,21,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,118.4,111.5,11.06,13.98,5.34,6.6
13,L,122,139,30,23,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,104.1,124.9,11.06,13.66,5.34,2.78
