Tm,Opp,Resultado,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
109,102,W,-0.02005468618980038,-2.932436068703996,1.5864699954779191,-2.209956073813361,-1.9016833412018326,0.8124382442856246,1.2872848129647088,-1.6056376372351524,-2.4385798323028354,-0.03909905350840751
115,107,W,-1.18730057208103,-2.3140010759099767,1.1718004245985179,-2.5234390356583263,-2.3828660162334363,-0.023719185266067075,-1.5367262478038466,-0.9704180746555379,-0.23085294746162074,-0.5360618949540706
89,121,L,1.8242046194201562,-3.202258912817664,1.0246901509002395,-1.3647610725670913,-2.602791237812442,-1.7705257646719046,0.7212530236788416,0.9239509999400473,0.25132792652874264,-1.8058507509168331
106,93,W,0.2730816208158335,-2.767341808125908,0.9260673124790261,-2.403475516377286,-1.2579979714311633,-0.10827067944347167,1.0368321581962907,-0.7218674923464009,-2.3831549035127204,0.007207426522341293
101,105,L,0.16200430075179473,-2.8196047455115716,0.48237292247298397,-1.3511364596602042,-2.8017456461708052,-2.547344253123311,1.1002568625226798,1.1790364026800702,-0.3057645952598994,-0.2851216555058958
106,111,L,2.51810311356796,-4.076727007599442,1.7461660704434574,-1.17770809682256,-3.127530335212155,-0.6590805383551421,1.4193970051086102,0.5501949574551093,0.39534388734633397,-1.8190119112097796
117,90,W,-1.7382759791398517,-1.5570154679446249,0.36270909646972166,-2.9395234263470322,-2.713968049310531,-0.42490948678198476,-2.0048345556645133,-0.4326774313989581,-0.7309952076852556,-0.2729148526975785
110,119,L,0.7946705352170838,-3.4916339884608223,1.1727285683986328,-1.122992512863097,-2.314040819515541,-2.3231727944271743,1.5626315588848427,0.6240680984534198,-0.06467491200426018,-0.5738642656852256
94,118,L,0.7007180985227587,-3.391571315226,1.1772706603067475,-2.149938201096084,-1.1295565157398295,-0.06055494164575803,1.1870873120924785,-0.1536110468330316,-2.279324643179248,-0.19221075909923813
130,121,W,0.963561995635141,-3.083731914270604,1.7161092011165746,-1.5532843801917533,-3.2981366911935095,-1.2442958077543895,0.2869600385365112,-0.5842957432830101,0.5372557127426116,-1.3810064335236054
120,95,W,0.36101293251164646,-2.8790573566511526,0.7202688580861676,-2.4625837715124113,-1.7247271735306122,0.049866296569290154,1.0822785236092,-0.051651823842168154,-2.350603658555442,0.045579488594240755
117,95,W,0.6631283624360894,-2.894882919705052,0.7887135060270536,-1.465502578838758,-1.1642432830960237,-3.617283346095454,0.9445357579729695,0.09406791783673105,-0.5221551111750922,-0.6727795250092512
121,117,W,0.08113551142484446,-1.9516844260873696,0.8506255479318676,-1.9223678265647244,-4.449207780083439,-0.8560373700666482,0.2825078226720804,0.2798973522533995,-0.08983481860734654,-1.147748010455316
80,106,L,-0.8193082707991571,-2.2976444473661917,0.7288303394137616,-2.7021243337585727,-1.4736469261434042,-1.2304184212313791,-2.23021348186977,-0.8625585472282076,-0.7341110638587027,-0.5002572882842097
