G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
6,20210102,HOU,L,94,102,3,3,L 2,SAC,2021,False,97.7,.439,13.1,25.0,.167,96.2,97.7,.525,13.3,15.4,.210,104.4,Harrison Barnes,Buddy Hield,De'Aaron Fox,Richaun Holmes,Marvin Bagley III,Cory Joseph,Glenn Robinson III,Nemanja Bjelica,Kyle Guy,Justin James,Chimezie Metu,Jabari Parker,Jahmi'us Ramsey,Hassan Whiteside,Robert Woodard II,John Wall,Danuel House Jr.,Christian Wood,P.J. Tucker,Eric Gordon,Sterling Brown,Jae'Sean Tate,DeMarcus Cousins,David Nwaba,Bruno Caboclo,James Harden,Brodric Thomas,Team Totals,,,,Team Totals,,
7,20210104,GSW,L,106,137,3,4,L 3,SAC,2021,False,109.5,.433,12.3,19.6,.311,96.8,109.5,.644,9.6,6.8,.124,125.1,De'Aaron Fox,Buddy Hield,Harrison Barnes,Marvin Bagley III,Richaun Holmes,Cory Joseph,Glenn Robinson III,Kyle Guy,Nemanja Bjelica,Hassan Whiteside,Justin James,Chimezie Metu,Robert Woodard II,Jahmi'us Ramsey,Team Totals,Stephen Curry,Andrew Wiggins,Kelly Oubre Jr.,Draymond Green,James Wiseman,Eric Paschall,Damion Lee,Brad Wanamaker,Kent Bazemore,Mychal Mulder,Kevon Looney,Jordan Poole,Nico Mannion,Team Totals,,,,,
8,20210106,CHI,W,128,124,4,4,W 1,SAC,2021,False,99.3,.593,6.4,26.7,.220,129.0,99.3,.602,13.8,27.0,.129,124.9,Harrison Barnes,Buddy Hield,Richaun Holmes,Marvin Bagley III,De'Aaron Fox,Tyrese Haliburton,Cory Joseph,Glenn Robinson III,Nemanja Bjelica,Kyle Guy,Justin James,Jahmi'us Ramsey,Hassan Whiteside,Robert Woodard II,Team Totals,Coby White,Zach LaVine,Wendell Carter Jr.,Otto Porter Jr.,Patrick Williams,Garrett Temple,Denzel Valentine,Thaddeus Young,Daniel Gafford,Devon Dotson,Cristiano Felício,Luke Kornet,Adam Mokoka,Team Totals,,,,,
9,20210108,TOR,L,123,144,4,5,L 1,SAC,2021,False,99.9,.660,11.4,8.6,.198,123.1,99.9,.692,11.4,34.3,.198,144.1,Buddy Hield,Harrison Barnes,Marvin Bagley III,De'Aaron Fox,Richaun Holmes,Tyrese Haliburton,Cory Joseph,Glenn Robinson III,Nemanja Bjelica,Kyle Guy,Justin James,Jahmi'us Ramsey,Robert Woodard II,Hassan Whiteside,Team Totals,Fred VanVleet,Pascal Siakam,OG Anunoby,Norman Powell,Alex Len,Chris Boucher,Terence Davis,Yuta Watanabe,Malachi Flynn,Stanley Johnson,DeAndre' Bembry,Matt Thomas,Paul Watson,Jalen Harris,Aron Baynes,Team Totals,,,
11,20210111,IND,W,127,122,5,6,W 1,SAC,2021,False,104.9,.649,16.8,20.6,.214,121.0,104.9,.552,11.0,21.3,.155,116.3,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Buddy Hield,Marvin Bagley III,Tyrese Haliburton,Glenn Robinson III,Cory Joseph,Hassan Whiteside,Nemanja Bjelica,Kyle Guy,Justin James,Chimezie Metu,Jabari Parker,Robert Woodard II,Domantas Sabonis,Malcolm Brogdon,Victor Oladipo,Justin Holiday,Myles Turner,Doug McDermott,Aaron Holiday,Edmond Sumner,JaKarr Sampson,Kelan Martin,T.J. McConnell,Cassius Stanley,Team Totals,,,,Team Totals,,
13,20210115,LAC,L,100,138,5,8,L 2,SAC,2021,False,95.2,.518,13.1,20.5,.141,105.1,95.2,.685,10.1,34.3,.180,145.0,Harrison Barnes,Marvin Bagley III,Richaun Holmes,Buddy Hield,De'Aaron Fox,Tyrese Haliburton,Glenn Robinson III,Chimezie Metu,Cory Joseph,Justin James,Robert Woodard II,Nemanja Bjelica,Jabari Parker,Team Totals,,Paul George,Kawhi Leonard,Nicolas Batum,Reggie Jackson,Serge Ibaka,Terance Mann,Luke Kennard,Marcus Morris,Ivica Zubac,Amir Coffey,Daniel Oturu,Mfiondu Kabengele,Patrick Patterson,Lou Williams,Team Totals,,,,
15,20210120,LAC,L,96,115,5,10,L 4,SAC,2021,False,103.8,.529,16.5,8.7,.058,92.5,103.8,.570,15.3,14.6,.198,110.8,Richaun Holmes,De'Aaron Fox,Harrison Barnes,Marvin Bagley III,Buddy Hield,Tyrese Haliburton,Glenn Robinson III,Cory Joseph,Chimezie Metu,Justin James,Nemanja Bjelica,Kyle Guy,Jabari Parker,Robert Woodard II,Team Totals,Kawhi Leonard,Paul George,Nicolas Batum,Patrick Beverley,Serge Ibaka,Marcus Morris,Luke Kennard,Ivica Zubac,Lou Williams,Terance Mann,Mfiondu Kabengele,Reggie Jackson,Daniel Oturu,Patrick Patterson,Team Totals,,,,
18,20210129,TOR,W,126,124,8,10,W 3,SAC,2021,False,100.0,.654,19.4,32.4,.308,126.0,100.0,.564,13.0,30.8,.314,124.0,Buddy Hield,Harrison Barnes,De'Aaron Fox,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Cory Joseph,Hassan Whiteside,Glenn Robinson III,Kyle Guy,Justin James,Chimezie Metu,Jabari Parker,Robert Woodard II,Team Totals,Pascal Siakam,Kyle Lowry,Fred VanVleet,Aron Baynes,Terence Davis,Yuta Watanabe,Stanley Johnson,DeAndre' Bembry,Chris Boucher,Matt Thomas,Paul Watson,Malachi Flynn,Team Totals,,,,,,
19,20210130,MIA,L,104,105,8,11,L 1,SAC,2021,False,93.0,.582,15.9,28.6,.059,111.9,93.0,.539,15.3,23.7,.286,112.9,Harrison Barnes,Buddy Hield,De'Aaron Fox,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Kyle Guy,Cory Joseph,Justin James,Chimezie Metu,Jabari Parker,Glenn Robinson III,Team Totals,,Tyler Herro,Bam Adebayo,Duncan Robinson,Jimmy Butler,KZ Okpala,Andre Iguodala,Kelly Olynyk,Max Strus,Precious Achiuwa,Gabe Vincent,Avery Bradley,Goran Dragić,Maurice Harkless,Udonis Haslem,Kendrick Nunn,Team Totals,,,
21,20210203,BOS,W,116,111,10,11,W 2,SAC,2021,False,98.0,.527,9.7,26.1,.207,118.4,98.0,.517,11.6,25.6,.256,113.3,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Cory Joseph,Hassan Whiteside,Glenn Robinson III,Nemanja Bjelica,Justin James,Chimezie Metu,Jabari Parker,Team Totals,,Jayson Tatum,Jaylen Brown,Daniel Theis,Jeff Teague,Tristan Thompson,Tremont Waters,Robert Williams,Grant Williams,Javonte Green,Semi Ojeleye,Carsen Edwards,Tacko Fall,Aaron Nesmith,Team Totals,,,,,
22,20210206,DEN,W,119,114,11,11,W 3,SAC,2021,False,96.9,.560,6.4,22.7,.187,122.9,96.9,.531,8.8,27.1,.113,117.7,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Cory Joseph,Glenn Robinson III,Nemanja Bjelica,Kyle Guy,Justin James,Jabari Parker,Team Totals,,Nikola Jokić,Will Barton,Monte Morris,Michael Porter Jr.,Paul Millsap,R.J. Hampton,JaMychal Green,Markus Howard,Vlatko Čančar,Bol Bol,Isaiah Hartenstein,Zeke Nnaji,Team Totals,,,,,,
23,20210207,LAC,W,113,110,12,11,W 4,SAC,2021,False,100.5,.543,10.7,22.9,.117,112.4,100.5,.455,8.4,28.1,.202,109.4,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Glenn Robinson III,Cory Joseph,Kyle Guy,Chimezie Metu,Nemanja Bjelica,Justin James,Jabari Parker,Team Totals,Kawhi Leonard,Reggie Jackson,Nicolas Batum,Serge Ibaka,Luke Kennard,Lou Williams,Ivica Zubac,Terance Mann,Marcus Morris,Patrick Beverley,Mfiondu Kabengele,Patrick Patterson,Team Totals,,,,,,
26,20210214,MEM,L,110,124,12,14,L 3,SAC,2021,False,102.0,.549,14.6,12.8,.244,107.9,102.0,.580,9.7,24.3,.160,121.6,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,DaQuan Jeffries,Tyrese Haliburton,Cory Joseph,Nemanja Bjelica,Hassan Whiteside,Chimezie Metu,Glenn Robinson III,Kyle Guy,Marvin Bagley III,Justin James,Jabari Parker,Ja Morant,Grayson Allen,Dillon Brooks,Kyle Anderson,Jonas Valančiūnas,Xavier Tillman Sr.,Brandon Clarke,John Konchar,Tyus Jones,Sean McDermott,Gorgui Dieng,De'Anthony Melton,Team Totals,,,,Team Totals,,
27,20210215,BRK,L,125,136,12,15,L 4,SAC,2021,False,98.5,.594,12.9,36.6,.115,126.9,98.5,.725,13.7,25.7,.079,138.1,Buddy Hield,De'Aaron Fox,Cory Joseph,Harrison Barnes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Glenn Robinson III,DaQuan Jeffries,Nemanja Bjelica,Richaun Holmes,Justin James,Chimezie Metu,Jabari Parker,Team Totals,James Harden,Kyrie Irving,Bruce Brown,Joe Harris,Jeff Green,Landry Shamet,DeAndre Jordan,Timothé Luwawu-Cabarrot,Tyler Johnson,Nic Claxton,Norvel Pelle,Noah Vonleh,Team Totals,,,,,,
28,20210218,MIA,L,110,118,12,16,L 5,SAC,2021,False,103.2,.543,13.8,26.0,.097,106.6,103.2,.579,13.9,20.5,.084,114.3,Nemanja Bjelica,De'Aaron Fox,Buddy Hield,Marvin Bagley III,Glenn Robinson III,Tyrese Haliburton,Cory Joseph,DaQuan Jeffries,Hassan Whiteside,Kyle Guy,Justin James,Richaun Holmes,Jabari Parker,Team Totals,,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kendrick Nunn,Kelly Olynyk,Tyler Herro,Andre Iguodala,Precious Achiuwa,Gabe Vincent,KZ Okpala,Avery Bradley,Goran Dragić,Maurice Harkless,Udonis Haslem,Max Strus,Team Totals,,,
29,20210220,CHI,L,114,122,12,17,L 6,SAC,2021,False,99.5,.490,6.1,25.0,.184,114.5,99.5,.665,13.6,6.5,.159,122.6,De'Aaron Fox,Cory Joseph,Buddy Hield,Marvin Bagley III,Hassan Whiteside,Tyrese Haliburton,DaQuan Jeffries,Nemanja Bjelica,Jabari Parker,Justin James,Kyle Guy,Richaun Holmes,Team Totals,,,Zach LaVine,Patrick Williams,Coby White,Wendell Carter Jr.,Garrett Temple,Thaddeus Young,Tomáš Satoranský,Denzel Valentine,Ryan Arcidiacono,Cristiano Felício,Daniel Gafford,Luke Kornet,Team Totals,,,,,,
30,20210221,MIL,L,115,128,12,18,L 7,SAC,2021,False,106.2,.500,10.7,25.0,.150,108.3,106.2,.550,14.5,32.6,.322,120.5,DaQuan Jeffries,De'Aaron Fox,Buddy Hield,Marvin Bagley III,Richaun Holmes,Tyrese Haliburton,Jabari Parker,Cory Joseph,Kyle Guy,Hassan Whiteside,Justin James,Harrison Barnes,Nemanja Bjelica,Team Totals,,Giannis Antetokounmpo,Khris Middleton,Donte DiVincenzo,D.J. Augustin,Brook Lopez,Pat Connaughton,Bryn Forbes,Bobby Portis,Thanasis Antetokounmpo,Sam Merrill,Torrey Craig,D.J. Wilson,Team Totals,,,,,,
31,20210223,BRK,L,118,127,12,19,L 8,SAC,2021,False,100.8,.603,13.6,13.9,.149,117.1,100.8,.590,7.2,23.3,.247,126.0,De'Aaron Fox,Harrison Barnes,Buddy Hield,Marvin Bagley III,Richaun Holmes,Tyrese Haliburton,Cory Joseph,DaQuan Jeffries,Nemanja Bjelica,Kyle Guy,Justin James,Jabari Parker,Hassan Whiteside,Team Totals,,James Harden,Kyrie Irving,DeAndre Jordan,Joe Harris,Bruce Brown,Tyler Johnson,Andre Roberson,Nic Claxton,Landry Shamet,Iman Shumpert,Jeff Green,Noah Vonleh,Team Totals,,,,,,
33,20210226,DET,W,110,107,13,20,W 1,SAC,2021,False,97.8,.455,9.3,28.6,.326,112.5,97.8,.524,10.3,22.2,.256,109.4,Harrison Barnes,De'Aaron Fox,Buddy Hield,Richaun Holmes,Marvin Bagley III,Cory Joseph,Kyle Guy,DaQuan Jeffries,Nemanja Bjelica,Justin James,Jabari Parker,Norvel Pelle,Team Totals,,,Jerami Grant,Saddiq Bey,Mason Plumlee,Dennis Smith Jr.,Wayne Ellington,Josh Jackson,Saben Lee,Isaiah Stewart,Svi Mykhailiuk,Sekou Doumbouya,Rodney McGruder,Deividas Sirvydis,Team Totals,,,,,,
34,20210228,CHO,L,126,127,13,21,L 1,SAC,2021,False,99.5,.630,9.1,23.1,.109,126.6,99.5,.608,14.4,22.6,.313,127.6,Harrison Barnes,De'Aaron Fox,Buddy Hield,Marvin Bagley III,Richaun Holmes,Nemanja Bjelica,Cory Joseph,DaQuan Jeffries,Kyle Guy,Justin James,Jabari Parker,Norvel Pelle,Team Totals,,,P.J. Washington,LaMelo Ball,Terry Rozier,Bismack Biyombo,Jalen McDaniels,Miles Bridges,Malik Monk,Cody Martin,Caleb Martin,Devonte' Graham,Gordon Hayward,Cody Zeller,Team Totals,,,,,,
35,20210303,LAL,W,123,120,14,21,W 1,SAC,2021,False,93.8,.675,13.7,18.8,.188,131.1,93.8,.591,10.8,38.5,.108,127.9,Buddy Hield,Harrison Barnes,De'Aaron Fox,Richaun Holmes,Marvin Bagley III,Cory Joseph,Nemanja Bjelica,DaQuan Jeffries,Kyle Guy,Justin James,Jabari Parker,Norvel Pelle,Team Totals,,,Kyle Kuzma,Dennis Schröder,Markieff Morris,Kentavious Caldwell-Pope,Damian Jones,Montrezl Harrell,Talen Horton-Tucker,Alfonzo McKinnie,Wesley Matthews,Jared Dudley,Kostas Antetokounmpo,Devontae Cacok,Team Totals,,,,,,
37,20210311,HOU,W,125,105,15,22,W 1,SAC,2021,False,108.1,.549,12.6,19.0,.261,115.7,108.1,.470,10.9,18.2,.121,97.2,Buddy Hield,Richaun Holmes,De'Aaron Fox,Harrison Barnes,Marvin Bagley III,Cory Joseph,Tyrese Haliburton,Nemanja Bjelica,DaQuan Jeffries,Justin James,Kyle Guy,Jabari Parker,Jahmi'us Ramsey,Team Totals,,Victor Oladipo,Sterling Brown,Jae'Sean Tate,Eric Gordon,Justin Patton,KJ Martin,Kevin Porter Jr.,Ben McLemore,Anthony Lamb,Danuel House Jr.,David Nwaba,P.J. Tucker,Team Totals,,,,,,
38,20210313,ATL,L,106,121,15,23,L 1,SAC,2021,False,92.3,.474,11.0,40.7,.133,114.8,92.3,.583,8.4,34.2,.274,131.1,De'Aaron Fox,Harrison Barnes,Buddy Hield,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Nemanja Bjelica,Cory Joseph,Jahmi'us Ramsey,Kyle Guy,Justin James,DaQuan Jeffries,Jabari Parker,Team Totals,,Trae Young,John Collins,Clint Capela,Tony Snell,Kevin Huerter,Danilo Gallinari,Bogdan Bogdanović,Solomon Hill,Rajon Rondo,Onyeka Okongwu,Nathan Knight,Bruno Fernando,Brandon Goodwin,Skylar Mays,Team Totals,,,,
39,20210315,CHO,L,116,122,15,24,L 2,SAC,2021,False,101.6,.610,11.4,10.0,.128,114.1,101.6,.543,7.9,20.0,.213,120.1,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Marvin Bagley III,Tyrese Haliburton,Cory Joseph,Nemanja Bjelica,Justin James,Jabari Parker,Kyle Guy,DaQuan Jeffries,Jahmi'us Ramsey,Team Totals,,Gordon Hayward,Terry Rozier,P.J. Washington,LaMelo Ball,Cody Zeller,Miles Bridges,Devonte' Graham,Bismack Biyombo,Cody Martin,Malik Monk,Vernon Carey Jr.,Nate Darling,Caleb Martin,Jalen McDaniels,Nick Richards,Team Totals,,,
40,20210317,WAS,W,121,119,16,24,W 1,SAC,2021,False,109.0,.495,8.4,12.5,.312,111.0,109.0,.511,12.4,23.8,.245,109.2,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,Buddy Hield,Richaun Holmes,Cory Joseph,Hassan Whiteside,Justin James,Nemanja Bjelica,Kyle Guy,DaQuan Jeffries,Jabari Parker,Jahmi'us Ramsey,Robert Woodard II,Team Totals,Russell Westbrook,Rui Hachimura,Bradley Beal,Alex Len,Garrison Mathews,Raul Neto,Dāvis Bertāns,Robin Lopez,Deni Avdija,Isaac Bonga,Troy Brown Jr.,Anthony Gill,Jerome Robinson,Moritz Wagner,Cassius Winston,Team Totals,,,
41,20210319,BOS,W,107,96,17,24,W 2,SAC,2021,False,94.5,.531,13.2,25.0,.259,113.3,94.5,.495,14.5,26.1,.066,101.6,Harrison Barnes,Buddy Hield,De'Aaron Fox,Tyrese Haliburton,Richaun Holmes,Cory Joseph,Hassan Whiteside,Nemanja Bjelica,Justin James,Kyle Guy,DaQuan Jeffries,Jabari Parker,Robert Woodard II,Team Totals,,Jayson Tatum,Kemba Walker,Jaylen Brown,Marcus Smart,Daniel Theis,Robert Williams,Payton Pritchard,Grant Williams,Aaron Nesmith,Carsen Edwards,Tacko Fall,Javonte Green,Semi Ojeleye,Jeff Teague,Tremont Waters,Team Totals,,,
43,20210322,CLE,W,119,105,18,25,W 1,SAC,2021,False,101.9,.617,15.1,25.6,.089,116.8,101.9,.448,8.6,20.4,.198,103.1,Harrison Barnes,Buddy Hield,De'Aaron Fox,Tyrese Haliburton,Richaun Holmes,Cory Joseph,Hassan Whiteside,Nemanja Bjelica,Justin James,Kyle Guy,DaQuan Jeffries,Jabari Parker,Robert Woodard II,Team Totals,,Collin Sexton,Isaac Okoro,Darius Garland,Jarrett Allen,Larry Nance Jr.,Dean Wade,JaVale McGee,Cedi Osman,Quinn Cook,Lamar Stevens,Dylan Windler,Brodric Thomas,Damyean Dotson,Team Totals,,,,,
44,20210324,ATL,W,110,108,19,25,W 2,SAC,2021,False,95.1,.536,14.6,27.9,.238,115.6,95.1,.524,12.0,26.8,.224,113.5,Harrison Barnes,De'Aaron Fox,Buddy Hield,Tyrese Haliburton,Richaun Holmes,Cory Joseph,Hassan Whiteside,Chimezie Metu,Justin James,Nemanja Bjelica,Kyle Guy,DaQuan Jeffries,Mfiondu Kabengele,Jabari Parker,Robert Woodard II,Trae Young,John Collins,Clint Capela,Kevin Huerter,Tony Snell,Bogdan Bogdanović,De'Andre Hunter,Danilo Gallinari,Onyeka Okongwu,Nathan Knight,Bruno Fernando,Brandon Goodwin,Solomon Hill,Skylar Mays,Rajon Rondo,Team Totals,Team Totals,,
45,20210325,GSW,W,141,119,20,25,W 3,SAC,2021,False,97.0,.702,5.8,13.9,.180,145.4,97.0,.608,11.4,17.5,.136,122.7,Harrison Barnes,De'Aaron Fox,Tyrese Haliburton,Richaun Holmes,Buddy Hield,Kyle Guy,DaQuan Jeffries,Chimezie Metu,Justin James,Robert Woodard II,Jahmi'us Ramsey,Hassan Whiteside,Team Totals,,,Andrew Wiggins,Kelly Oubre Jr.,Jordan Poole,James Wiseman,Juan Toscano-Anderson,Nico Mannion,Damion Lee,Kevon Looney,Kent Bazemore,Mychal Mulder,Alen Smailagić,Stephen Curry,Draymond Green,Eric Paschall,Team Totals,,,,
46,20210327,CLE,W,100,98,21,25,W 4,SAC,2021,False,95.3,.556,17.3,19.4,.138,104.9,95.3,.494,9.6,15.9,.179,102.8,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Tyrese Haliburton,Buddy Hield,Delon Wright,Terence Davis,Chimezie Metu,Maurice Harkless,Kyle Guy,Justin James,DaQuan Jeffries,Chris Silva,Robert Woodard II,Team Totals,Collin Sexton,Larry Nance Jr.,Darius Garland,Isaac Okoro,Brodric Thomas,Dean Wade,Damyean Dotson,Lamar Stevens,Quinn Cook,Cedi Osman,Taurean Prince,Dylan Windler,Team Totals,,,,,,
47,20210329,SAS,W,132,115,22,25,W 5,SAC,2021,False,96.3,.667,6.9,12.1,.238,137.0,96.3,.559,10.0,26.7,.118,119.4,De'Aaron Fox,Buddy Hield,Richaun Holmes,Harrison Barnes,Tyrese Haliburton,Delon Wright,Terence Davis,Maurice Harkless,Chimezie Metu,Chris Silva,Kyle Guy,Justin James,DaQuan Jeffries,Robert Woodard II,Team Totals,Dejounte Murray,DeMar DeRozan,Jakob Poeltl,Derrick White,Keldon Johnson,Patty Mills,Rudy Gay,Devin Vassell,Drew Eubanks,Luka Šamanić,Tre Jones,Cameron Reynolds,Quinndary Weatherspoon,Trey Lyles,Team Totals,,,,
48,20210331,SAS,L,106,120,22,26,L 1,SAC,2021,False,100.0,.484,10.7,21.6,.185,106.0,100.0,.522,9.3,30.4,.261,120.0,Harrison Barnes,De'Aaron Fox,Richaun Holmes,Buddy Hield,Tyrese Haliburton,Delon Wright,Terence Davis,Chimezie Metu,Maurice Harkless,Kyle Guy,Justin James,Chris Silva,Robert Woodard II,DaQuan Jeffries,Jahmi'us Ramsey,DeMar DeRozan,Dejounte Murray,Derrick White,Jakob Poeltl,Keldon Johnson,Patty Mills,Rudy Gay,Devin Vassell,Drew Eubanks,Gorgui Dieng,Tre Jones,Luka Šamanić,Cameron Reynolds,Quinndary Weatherspoon,Trey Lyles,Team Totals,Team Totals,,
49,20210402,LAL,L,94,115,22,27,L 2,SAC,2021,False,100.5,.482,14.0,12.5,.141,93.5,100.5,.566,14.6,28.9,.132,114.4,Harrison Barnes,Tyrese Haliburton,Buddy Hield,De'Aaron Fox,Richaun Holmes,Maurice Harkless,Terence Davis,Delon Wright,Chimezie Metu,Robert Woodard II,Justin James,DaQuan Jeffries,Kyle Guy,Jahmi'us Ramsey,Chris Silva,Kentavious Caldwell-Pope,Kyle Kuzma,Markieff Morris,Dennis Schröder,Marc Gasol,Talen Horton-Tucker,Alex Caruso,Montrezl Harrell,Alfonzo McKinnie,Wesley Matthews,Devontae Cacok,Kostas Antetokounmpo,Team Totals,,,,Team Totals,,
50,20210403,MIL,L,128,129,22,28,L 3,SAC,2021,False,101.4,.581,10.3,25.5,.131,126.3,101.4,.597,11.3,30.0,.194,127.3,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,Buddy Hield,Richaun Holmes,Terence Davis,Maurice Harkless,Delon Wright,Chimezie Metu,Kyle Guy,Justin James,Jahmi'us Ramsey,Chris Silva,Robert Woodard II,Team Totals,Jrue Holiday,Khris Middleton,Pat Connaughton,Donte DiVincenzo,Brook Lopez,Bobby Portis,Jeff Teague,Bryn Forbes,Jordan Nwora,Thanasis Antetokounmpo,Mamadi Diakite,Rodions Kurucs,Sam Merrill,Axel Toupane,Team Totals,,,,
51,20210405,MIN,L,106,116,22,29,L 4,SAC,2021,False,100.7,.494,13.2,21.7,.216,105.3,100.7,.484,11.7,31.9,.308,115.2,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Tyrese Haliburton,Buddy Hield,Delon Wright,Terence Davis,Maurice Harkless,Hassan Whiteside,Kyle Guy,Justin James,Chimezie Metu,Chris Silva,Robert Woodard II,Team Totals,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Jaden McDaniels,Josh Okogie,Juancho Hernangómez,D'Angelo Russell,Naz Reid,Jordan McLaughlin,Jarrett Culver,Jake Layman,Ed Davis,Jarred Vanderbilt,Team Totals,,,,,
52,20210408,DET,L,101,113,22,30,L 5,SAC,2021,False,100.7,.483,11.0,14.3,.209,100.3,100.7,.571,14.7,17.9,.202,112.2,Harrison Barnes,De'Aaron Fox,Buddy Hield,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Delon Wright,Terence Davis,Hassan Whiteside,Chimezie Metu,Justin James,Damian Jones,Jahmi'us Ramsey,Chris Silva,Robert Woodard II,Saddiq Bey,Isaiah Stewart,Cory Joseph,Dennis Smith Jr.,Josh Jackson,Killian Hayes,Hamidou Diallo,Jahlil Okafor,Frank Jackson,Sekou Doumbouya,Wayne Ellington,Tyler Cook,Saben Lee,Deividas Sirvydis,Team Totals,,Team Totals,,
53,20210410,UTA,L,112,128,22,31,L 6,SAC,2021,False,100.9,.557,9.3,8.9,.159,111.0,100.9,.557,8.8,24.4,.341,126.8,De'Aaron Fox,Harrison Barnes,Buddy Hield,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Terence Davis,Delon Wright,Chimezie Metu,Justin James,Damian Jones,Jahmi'us Ramsey,Chris Silva,Hassan Whiteside,Robert Woodard II,Royce O'Neale,Donovan Mitchell,Mike Conley,Rudy Gobert,Bojan Bogdanović,Joe Ingles,Georges Niang,Derrick Favors,Miye Oni,Jarrell Brantley,Trent Forrest,Elijah Hughes,Ersan İlyasova,Juwan Morgan,Matt Thomas,Team Totals,Team Totals,,
55,20210414,WAS,L,111,123,22,33,L 8,SAC,2021,False,111.2,.511,14.3,10.6,.198,99.9,111.2,.561,20.3,35.9,.244,110.7,Harrison Barnes,De'Aaron Fox,Buddy Hield,Maurice Harkless,Damian Jones,Tyrese Haliburton,Hassan Whiteside,Terence Davis,Delon Wright,Chimezie Metu,Justin James,Jahmi'us Ramsey,Chris Silva,Robert Woodard II,Team Totals,Russell Westbrook,Bradley Beal,Rui Hachimura,Deni Avdija,Alex Len,Ish Smith,Dāvis Bertāns,Daniel Gafford,Robin Lopez,Garrison Mathews,Raul Neto,Isaac Bonga,Anthony Gill,Chandler Hutchison,Cassius Winston,Team Totals,,,
57,20210418,DAL,W,121,107,23,34,W 1,SAC,2021,False,96.2,.556,7.4,23.8,.247,125.8,96.2,.540,12.8,23.8,.149,111.3,De'Aaron Fox,Harrison Barnes,Maurice Harkless,Buddy Hield,Hassan Whiteside,Terence Davis,Delon Wright,Chimezie Metu,Tyrese Haliburton,Chris Silva,Justin James,Damian Jones,Jahmi'us Ramsey,Team Totals,,Kristaps Porziņģis,Luka Dončić,Dorian Finney-Smith,Josh Richardson,Maxi Kleber,Jalen Brunson,Tim Hardaway Jr.,Dwight Powell,Willie Cauley-Stein,JJ Redick,Nicolò Melli,Trey Burke,Josh Green,Nate Hinton,Boban Marjanović,Team Totals,,,
58,20210420,MIN,L,120,134,23,35,L 1,SAC,2021,False,101.2,.546,9.6,25.5,.144,118.6,101.2,.667,15.5,31.6,.156,132.4,Harrison Barnes,Buddy Hield,Maurice Harkless,De'Aaron Fox,Hassan Whiteside,Delon Wright,Tyrese Haliburton,Terence Davis,Chimezie Metu,Chris Silva,Justin James,Damian Jones,Jahmi'us Ramsey,Team Totals,,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Ricky Rubio,Josh Okogie,D'Angelo Russell,Juancho Hernangómez,Jarred Vanderbilt,Naz Reid,Jordan McLaughlin,Jarrett Culver,Ed Davis,Jake Layman,Team Totals,,,,,
