G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
44,20210326,TOR,W,104,100,30,14,W 1,PHO,2021,False,97.4,.528,12.2,22.5,.100,106.7,97.4,.478,11.0,15.6,.156,102.6,Chris Paul,Mikal Bridges,Devin Booker,Jae Crowder,Deandre Ayton,Dario Šarić,Cameron Johnson,Langston Galloway,Cameron Payne,Torrey Craig,Ty-Shon Alexander,Jevon Carter,Frank Kaminsky,E'Twaun Moore,Jalen Smith,Fred VanVleet,OG Anunoby,Pascal Siakam,Kyle Lowry,Gary Trent Jr.,Rodney Hood,Aron Baynes,Malachi Flynn,Chris Boucher,Jalen Harris,Stanley Johnson,Yuta Watanabe,Team Totals,,,,Team Totals,,
45,20210328,CHO,W,101,97,31,14,W 2,PHO,2021,False,87.4,.396,11.4,36.8,.260,104.7,87.4,.476,18.1,35.6,.188,100.5,Mikal Bridges,Devin Booker,Chris Paul,Deandre Ayton,Jae Crowder,Torrey Craig,Cameron Johnson,Dario Šarić,Cameron Payne,Langston Galloway,Ty-Shon Alexander,Jevon Carter,Frank Kaminsky,E'Twaun Moore,Jalen Smith,Terry Rozier,P.J. Washington,Gordon Hayward,Devonte' Graham,Bismack Biyombo,Miles Bridges,Cody Martin,Cody Zeller,Brad Wanamaker,Caleb Martin,Nate Darling,Jalen McDaniels,Malik Monk,Nick Richards,Grant Riller,Team Totals,Team Totals,,
46,20210330,ATL,W,117,110,32,14,W 3,PHO,2021,False,95.4,.580,12.7,26.8,.170,122.6,95.4,.559,6.9,13.6,.176,115.3,Devin Booker,Chris Paul,Mikal Bridges,Deandre Ayton,Jae Crowder,Cameron Johnson,Torrey Craig,Dario Šarić,Cameron Payne,Langston Galloway,Ty-Shon Alexander,Jevon Carter,E'Twaun Moore,Abdel Nader,Jalen Smith,Bogdan Bogdanović,Clint Capela,Trae Young,Tony Snell,John Collins,Kevin Huerter,Danilo Gallinari,Solomon Hill,Brandon Goodwin,Nathan Knight,Onyeka Okongwu,Bruno Fernando,Skylar Mays,Team Totals,,,Team Totals,,
47,20210331,CHI,W,121,116,33,14,W 4,PHO,2021,False,95.2,.636,9.8,11.1,.222,127.1,95.2,.490,8.5,39.1,.192,121.9,Devin Booker,Chris Paul,Deandre Ayton,Mikal Bridges,Jae Crowder,Dario Šarić,Cameron Johnson,Cameron Payne,Torrey Craig,Jevon Carter,Ty-Shon Alexander,Langston Galloway,E'Twaun Moore,Abdel Nader,Jalen Smith,Nikola Vučević,Lauri Markkanen,Patrick Williams,Tomáš Satoranský,Thaddeus Young,Denzel Valentine,Daniel Theis,Troy Brown Jr.,Ryan Arcidiacono,Al-Farouq Aminu,Devon Dotson,Cristiano Felício,Javonte Green,Adam Mokoka,Team Totals,,Team Totals,,
49,20210405,HOU,W,133,130,35,14,W 6,PHO,2021,False,103.7,.616,9.9,15.4,.314,128.3,103.7,.652,16.1,13.9,.342,125.4,Devin Booker,Chris Paul,Deandre Ayton,Mikal Bridges,Jae Crowder,Cameron Johnson,Torrey Craig,Dario Šarić,Cameron Payne,Jevon Carter,Ty-Shon Alexander,Langston Galloway,E'Twaun Moore,Jalen Smith,Team Totals,Christian Wood,Avery Bradley,Jae'Sean Tate,Kevin Porter Jr.,Kelly Olynyk,Sterling Brown,D.J. Augustin,KJ Martin,D.J. Wilson,Danuel House Jr.,Anthony Lamb,John Wall,Team Totals,,,,,,
50,20210407,UTA,W,117,113,36,14,W 7,PHO,2021,False,99.2,.500,11.3,29.6,.158,106.8,99.2,.500,10.6,13.5,.097,103.2,Devin Booker,Chris Paul,Deandre Ayton,Jae Crowder,Mikal Bridges,Cameron Johnson,Torrey Craig,Dario Šarić,Cameron Payne,Jevon Carter,Ty-Shon Alexander,Langston Galloway,Frank Kaminsky,E'Twaun Moore,Jalen Smith,Donovan Mitchell,Bojan Bogdanović,Rudy Gobert,Mike Conley,Royce O'Neale,Joe Ingles,Jordan Clarkson,Derrick Favors,Georges Niang,Jarrell Brantley,Trent Forrest,Ersan İlyasova,Miye Oni,Matt Thomas,Team Totals,,Team Totals,,
51,20210408,LAC,L,103,113,36,15,L 1,PHO,2021,False,88.5,.549,15.1,25.7,.352,116.4,88.5,.607,11.0,25.0,.131,127.7,Devin Booker,Mikal Bridges,Deandre Ayton,Chris Paul,Jae Crowder,Cameron Johnson,Cameron Payne,Torrey Craig,Dario Šarić,Jevon Carter,Jalen Smith,Ty-Shon Alexander,Langston Galloway,Frank Kaminsky,E'Twaun Moore,Kawhi Leonard,Paul George,Marcus Morris,Ivica Zubac,Patrick Beverley,Nicolas Batum,Reggie Jackson,Rajon Rondo,Patrick Patterson,Terance Mann,Amir Coffey,Luke Kennard,Daniel Oturu,DeMarcus Cousins,Team Totals,,Team Totals,,
52,20210410,WAS,W,134,106,37,15,W 1,PHO,2021,False,105.5,.593,2.7,10.6,.065,127.1,105.5,.518,14.2,14.9,.226,100.5,Mikal Bridges,Devin Booker,Chris Paul,Deandre Ayton,Jae Crowder,Cameron Payne,Jevon Carter,Dario Šarić,Cameron Johnson,Torrey Craig,Frank Kaminsky,Ty-Shon Alexander,Jalen Smith,Langston Galloway,E'Twaun Moore,Russell Westbrook,Deni Avdija,Raul Neto,Rui Hachimura,Alex Len,Garrison Mathews,Ish Smith,Daniel Gafford,Robin Lopez,Chandler Hutchison,Cassius Winston,Anthony Gill,Isaac Bonga,Team Totals,,,Team Totals,,
53,20210412,HOU,W,126,120,38,15,W 2,PHO,2021,False,102.7,.612,12.1,23.5,.117,122.7,102.7,.603,18.0,28.6,.172,116.9,Devin Booker,Mikal Bridges,Deandre Ayton,Chris Paul,Jae Crowder,Cameron Johnson,Cameron Payne,Jevon Carter,Dario Šarić,Torrey Craig,Ty-Shon Alexander,Langston Galloway,Frank Kaminsky,E'Twaun Moore,Jalen Smith,Kevin Porter Jr.,John Wall,Christian Wood,Kelly Olynyk,Jae'Sean Tate,KJ Martin,Avery Bradley,Armoni Brooks,D.J. Wilson,D.J. Augustin,DaQuan Jeffries,Anthony Lamb,Team Totals,,,,Team Totals,,
54,20210413,MIA,W,106,86,39,15,W 3,PHO,2021,False,98.5,.543,18.9,24.3,.207,107.6,98.5,.433,16.6,17.0,.183,87.3,Jae Crowder,Deandre Ayton,Chris Paul,Devin Booker,Mikal Bridges,Cameron Johnson,Cameron Payne,Jevon Carter,Torrey Craig,Dario Šarić,Jalen Smith,Ty-Shon Alexander,Langston Galloway,Frank Kaminsky,E'Twaun Moore,Bam Adebayo,Jimmy Butler,Duncan Robinson,Trevor Ariza,Kendrick Nunn,Goran Dragić,Tyler Herro,Andre Iguodala,Precious Achiuwa,Nemanja Bjelica,KZ Okpala,Max Strus,Gabe Vincent,Dewayne Dedmon,Udonis Haslem,Team Totals,Team Totals,,
