G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player17_Starters,Opponent_Player18_Starters,Team_Player17_Starters,Team_Player18_Starters,Team_Player19_Starters
35,20220103,MEM,L,104,118,23,12,L 3,BRK,2022,False,96.4,0.506,12.2,17.4,0.256,107.9,96.4,0.52,10.5,47.9,0.118,122.4,James Harden,Kevin Durant,Patty Mills,Nic Claxton,DeAndre' Bembry,Bruce Brown,James Johnson,Blake Griffin,Cam Thomas,Jevon Carter,Day'Ron Sharpe,David Duke Jr.,Kessler Edwards,Paul Millsap,Desmond Bane,Ja Morant,Steven Adams,Jaren Jackson Jr.,Killian Tillie,Jarrett Culver,Brandon Clarke,Tyus Jones,Santi Aldama,Yves Pons,Xavier Sneed,DaQuan Jeffries,Dakota Mathias,Jon Teske,Team Totals,,Team Totals,,,,,,
36,20220105,IND,W,129,121,24,12,W 1,BRK,2022,False,100.5,0.599,10.8,25.7,0.302,128.3,100.5,0.579,15.3,19.4,0.317,120.3,Kevin Durant,James Harden,Kyrie Irving,Nic Claxton,David Duke Jr.,Patty Mills,DeAndre' Bembry,LaMarcus Aldridge,James Johnson,Blake Griffin,Bruce Brown,Jevon Carter,Paul Millsap,Day'Ron Sharpe,Keifer Sykes,Domantas Sabonis,Duane Washington Jr.,Myles Turner,Justin Holiday,Lance Stephenson,Oshae Brissett,Justin Anderson,Ahmad Caver,Nate Hinton,Terry Taylor,Team Totals,,,,,Cam Thomas,Team Totals,,,,,
37,20220107,MIL,L,109,121,24,13,L 1,BRK,2022,False,97.5,0.489,9.8,30.4,0.207,111.8,97.5,0.542,9.5,27.1,0.177,124.1,Kevin Durant,James Harden,Patty Mills,Nic Claxton,David Duke Jr.,Cam Thomas,James Johnson,Bruce Brown,LaMarcus Aldridge,DeAndre' Bembry,Day'Ron Sharpe,Jevon Carter,Kessler Edwards,Blake Griffin,Bobby Portis,Jordan Nwora,Khris Middleton,Wesley Matthews,Giannis Antetokounmpo,Rodney Hood,Langston Galloway,Sandro Mamukelashvili,Semi Ojeleye,Thanasis Antetokounmpo,Javonte Smart,Luke Kornet,Jeff Dowtin,Team Totals,,,Paul Millsap,Team Totals,,,,,
40,20220112,CHI,W,138,112,26,14,W 1,BRK,2022,False,99.6,0.661,9.1,21.9,0.264,138.5,99.6,0.537,15.2,22.7,0.309,112.4,James Harden,Kevin Durant,Kessler Edwards,Kyrie Irving,Day'Ron Sharpe,Patty Mills,Blake Griffin,DeAndre' Bembry,Cam Thomas,David Duke Jr.,Jevon Carter,Bruce Brown,James Johnson,Paul Millsap,Zach LaVine,DeMar DeRozan,Lonzo Ball,Nikola Vučević,Derrick Jones Jr.,Coby White,Ayo Dosunmu,Alfonzo McKinnie,Troy Brown Jr.,Tony Bradley,Matt Thomas,Devon Dotson,Marko Simonovic,Team Totals,,,Team Totals,,,,,,
43,20220117,CLE,L,107,114,27,16,L 1,BRK,2022,False,95.5,0.566,13.3,20.0,0.157,112.0,95.5,0.586,15.1,22.9,0.235,119.3,James Harden,Kessler Edwards,Kyrie Irving,Patty Mills,Day'Ron Sharpe,LaMarcus Aldridge,Cam Thomas,Blake Griffin,Bruce Brown,DeAndre' Bembry,Jevon Carter,David Duke Jr.,Team Totals,,Evan Mobley,Darius Garland,Jarrett Allen,Isaac Okoro,Lauri Markkanen,Cedi Osman,Kevin Love,Dylan Windler,Brandon Goodwin,Ed Davis,Kevin Pangos,Dean Wade,Team Totals,,,,,,,,,,
46,20220123,MIN,L,125,136,29,17,L 1,BRK,2022,False,101.7,0.584,15.8,37.2,0.147,122.9,101.7,0.598,7.9,23.8,0.283,133.7,James Harden,Kyrie Irving,Patty Mills,Kessler Edwards,Day'Ron Sharpe,James Johnson,LaMarcus Aldridge,DeAndre' Bembry,Cam Thomas,Bruce Brown,Blake Griffin,Jevon Carter,Team Totals,,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Jaylen Nowell,Taurean Prince,Naz Reid,Malik Beasley,Josh Okogie,Nathan Knight,Jake Layman,Jordan McLaughlin,McKinley Wright IV,Team Totals,,,,,,,,
47,20220125,LAL,L,96,106,29,18,L 2,BRK,2022,False,95.7,0.46,16.3,39.1,0.17,100.4,95.7,0.539,9.7,12.2,0.112,110.8,James Harden,Kessler Edwards,Patty Mills,DeAndre' Bembry,Day'Ron Sharpe,James Johnson,Bruce Brown,LaMarcus Aldridge,Nic Claxton,Cam Thomas,Jevon Carter,Blake Griffin,Team Totals,,LeBron James,Russell Westbrook,Stanley Johnson,Anthony Davis,Avery Bradley,Malik Monk,Austin Reaves,Carmelo Anthony,Talen Horton-Tucker,Kent Bazemore,Trevor Ariza,Wayne Ellington,Dwight Howard,DeAndre Jordan,Team Totals,,,,,,,,
48,20220126,DEN,L,118,124,29,19,L 3,BRK,2022,False,101.3,0.557,10.8,14.3,0.227,116.5,101.3,0.556,11.4,27.3,0.281,122.4,James Johnson,Kessler Edwards,LaMarcus Aldridge,Patty Mills,DeAndre' Bembry,Cam Thomas,Jevon Carter,Blake Griffin,Bruce Brown,Nic Claxton,James Harden,Team Totals,,,Nikola Jokić,Will Barton,Aaron Gordon,Monte Morris,Jeff Green,Austin Rivers,Facundo Campazzo,Bryn Forbes,Zeke Nnaji,DeMarcus Cousins,Davon Reed,JaMychal Green,Markus Howard,Bones Hyland,Team Totals,,,,,,,,
49,20220129,GSW,L,106,110,29,20,L 4,BRK,2022,False,97.4,0.454,9.3,31.6,0.173,108.8,97.4,0.48,10.2,32.0,0.163,112.9,Kyrie Irving,Patty Mills,Kessler Edwards,DeAndre' Bembry,Nic Claxton,James Johnson,Bruce Brown,Cam Thomas,Blake Griffin,LaMarcus Aldridge,Jevon Carter,James Harden,Day'Ron Sharpe,Team Totals,Andrew Wiggins,Stephen Curry,Kevon Looney,Otto Porter Jr.,Klay Thompson,Jordan Poole,Gary Payton II,Damion Lee,Juan Toscano-Anderson,Jonathan Kuminga,Nemanja Bjelica,Team Totals,,,,,,,,,,,
53,20220206,DEN,L,104,124,29,24,L 8,BRK,2022,False,98.6,0.506,9.4,15.4,0.184,105.5,98.6,0.574,9.6,28.2,0.17,125.7,Kyrie Irving,Patty Mills,Blake Griffin,James Johnson,Kessler Edwards,Cam Thomas,DeAndre' Bembry,Day'Ron Sharpe,Bruce Brown,Jevon Carter,Nic Claxton,James Harden,Team Totals,,Will Barton,Aaron Gordon,Monte Morris,Nikola Jokić,Jeff Green,Bryn Forbes,Zeke Nnaji,Bones Hyland,DeMarcus Cousins,Austin Rivers,Facundo Campazzo,Markus Howard,Davon Reed,JaMychal Green,Team Totals,,,,,,,,
