G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player17_Starters,Opponent_Player18_Starters,Team_Player17_Starters,Team_Player18_Starters,Team_Player19_Starters
77,20230331,DEN,W,100,93,42,35,W 4,PHO,2023,False,97.3,.477,14.1,26.5,.182,102.7,97.3,.432,9.6,28.3,.116,95.6,Devin Booker,Chris Paul,Kevin Durant,Josh Okogie,Deandre Ayton,Bismack Biyombo,T.J. Warren,Torrey Craig,Terrence Ross,Cameron Payne,Darius Bazley,Jock Landale,Damion Lee,Landry Shamet,Bruce Brown,Aaron Gordon,Reggie Jackson,Christian Braun,DeAndre Jordan,Peyton Watson,Zeke Nnaji,Vlatko Čančar,Ish Smith,Thomas Bryant,Jeff Green,Jack White,Team Totals,,,,Ish Wainright,Team Totals,,,,,
79,20230404,SAS,W,115,94,44,35,W 6,PHO,2023,False,96.9,.539,12.2,34.1,.213,118.7,96.9,.461,11.1,17.6,.122,97.0,Kevin Durant,Devin Booker,Chris Paul,Deandre Ayton,Josh Okogie,Torrey Craig,Bismack Biyombo,Landry Shamet,Terrence Ross,T.J. Warren,Ish Wainright,Damion Lee,Jock Landale,Saben Lee,Malaki Branham,Tre Jones,Sandro Mamukelashvili,Devonte' Graham,Keita Bates-Diop,Julian Champagnie,Blake Wesley,Gorgui Dieng,Dominick Barlow,Doug McDermott,Zach Collins,Romeo Langford,Team Totals,,,,Cameron Payne,Team Totals,,,,,
80,20230406,DEN,W,119,115,45,35,W 7,PHO,2023,False,92.8,.627,10.0,19.4,.253,128.3,92.8,.578,12.3,25.7,.229,123.9,Kevin Durant,Devin Booker,Chris Paul,Deandre Ayton,Josh Okogie,Torrey Craig,Terrence Ross,Bismack Biyombo,Cameron Payne,Landry Shamet,Jock Landale,Ish Wainright,Darius Bazley,Damion Lee,Bruce Brown,Christian Braun,Reggie Jackson,DeAndre Jordan,Peyton Watson,Ish Smith,Jeff Green,Vlatko Čančar,Zeke Nnaji,Thomas Bryant,Jack White,Team Totals,,,,,Saben Lee,Team Totals,,,,,
81,20230407,LAL,L,107,121,45,36,L 1,PHO,2023,False,103.5,.457,7.6,22.8,.115,103.3,103.5,.587,13.9,22.7,.141,116.9,Josh Okogie,Torrey Craig,Landry Shamet,Cameron Payne,Bismack Biyombo,Jock Landale,Terrence Ross,Ish Wainright,Saben Lee,Damion Lee,Darius Bazley,Team Totals,,,Anthony Davis,D'Angelo Russell,Austin Reaves,LeBron James,Jarred Vanderbilt,Malik Beasley,Troy Brown Jr.,Rui Hachimura,Wenyen Gabriel,Lonnie Walker IV,Mo Bamba,Max Christie,Davon Reed,Dennis Schröder,Team Totals,,,,,,,,
82,20230409,LAC,L,114,119,45,37,L 2,PHO,2023,False,102.2,.495,6.1,23.5,.162,111.5,102.2,.515,8.3,28.6,.160,116.4,Saben Lee,Ish Wainright,Josh Okogie,Jock Landale,Landry Shamet,Damion Lee,Terrence Ross,Darius Bazley,Torrey Craig,Bismack Biyombo,Cameron Payne,Team Totals,,,Russell Westbrook,Kawhi Leonard,Ivica Zubac,Nicolas Batum,Eric Gordon,Norman Powell,Mason Plumlee,Terance Mann,Bones Hyland,Robert Covington,Brandon Boston Jr.,Amir Coffey,Moussa Diabaté,Xavier Moon,Jason Preston,Team Totals,,,,,,,
1,20230416,LAC,L,110,115,0,1,L 1,PHO,2023,True,100.3,.512,9.4,15.0,.317,109.7,100.3,.495,11.7,29.4,.247,114.7,Kevin Durant,Devin Booker,Chris Paul,Deandre Ayton,Torrey Craig,Landry Shamet,Jock Landale,Ish Wainright,Josh Okogie,Bismack Biyombo,Terrence Ross,Darius Bazley,Damion Lee,T.J. Warren,Kawhi Leonard,Russell Westbrook,Eric Gordon,Ivica Zubac,Nicolas Batum,Terance Mann,Norman Powell,Mason Plumlee,Bones Hyland,Brandon Boston Jr.,Amir Coffey,Robert Covington,Marcus Morris,Jason Preston,Team Totals,,Team Totals,,,,,,
2,20230418,LAC,W,123,109,1,1,W 1,PHO,2023,True,92.4,.647,10.8,25.9,.153,133.1,92.4,.506,13.8,30.0,.350,117.9,Devin Booker,Kevin Durant,Chris Paul,Torrey Craig,Deandre Ayton,Josh Okogie,Bismack Biyombo,Landry Shamet,Damion Lee,T.J. Warren,Ish Wainright,Darius Bazley,Jock Landale,Terrence Ross,Kawhi Leonard,Russell Westbrook,Eric Gordon,Ivica Zubac,Nicolas Batum,Norman Powell,Terance Mann,Bones Hyland,Mason Plumlee,Brandon Boston Jr.,Amir Coffey,Jason Preston,Robert Covington,Marcus Morris,Team Totals,,Team Totals,,,,,,
3,20230420,LAC,W,129,124,2,1,W 2,PHO,2023,True,104.3,.534,10.7,30.6,.398,123.7,104.3,.633,16.1,16.7,.229,118.9,Devin Booker,Kevin Durant,Chris Paul,Deandre Ayton,Torrey Craig,Josh Okogie,Damion Lee,Bismack Biyombo,Landry Shamet,T.J. Warren,Darius Bazley,Jock Landale,Terrence Ross,Ish Wainright,Norman Powell,Russell Westbrook,Eric Gordon,Ivica Zubac,Nicolas Batum,Terance Mann,Bones Hyland,Marcus Morris,Mason Plumlee,Robert Covington,Brandon Boston Jr.,Amir Coffey,Jason Preston,Team Totals,,,Team Totals,,,,,,
4,20230422,LAC,W,112,100,3,1,W 3,PHO,2023,True,96.7,.542,15.8,36.8,.250,115.8,96.7,.500,11.9,20.5,.087,103.4,Kevin Durant,Devin Booker,Chris Paul,Deandre Ayton,Torrey Craig,Josh Okogie,Damion Lee,Bismack Biyombo,Landry Shamet,Darius Bazley,Jock Landale,Terrence Ross,Ish Wainright,T.J. Warren,Russell Westbrook,Norman Powell,Eric Gordon,Marcus Morris,Ivica Zubac,Terance Mann,Mason Plumlee,Bones Hyland,Robert Covington,Nicolas Batum,Brandon Boston Jr.,Amir Coffey,Jason Preston,Team Totals,,,Team Totals,,,,,,
5,20230425,LAC,W,136,130,4,1,W 4,PHO,2023,True,100.2,.612,7.9,27.5,.223,135.7,100.2,.521,8.2,34.7,.326,129.7,Kevin Durant,Devin Booker,Chris Paul,Deandre Ayton,Torrey Craig,Josh Okogie,Bismack Biyombo,Landry Shamet,Damion Lee,Cameron Payne,Darius Bazley,Jock Landale,Terrence Ross,Ish Wainright,Russell Westbrook,Norman Powell,Marcus Morris,Ivica Zubac,Eric Gordon,Terance Mann,Nicolas Batum,Mason Plumlee,Bones Hyland,Brandon Boston Jr.,Amir Coffey,Robert Covington,Jason Preston,Team Totals,,,T.J. Warren,Team Totals,,,,,
6,20230429,DEN,L,107,125,4,2,L 1,PHO,2023,True,97.8,.554,14.9,19.5,.167,109.5,97.8,.554,8.5,34.8,.129,127.9,Devin Booker,Kevin Durant,Chris Paul,Deandre Ayton,Josh Okogie,Torrey Craig,Landry Shamet,Damion Lee,Jock Landale,Bismack Biyombo,Cameron Payne,Ish Wainright,Terrence Ross,Darius Bazley,Aaron Gordon,Jamal Murray,Nikola Jokić,Michael Porter Jr.,Kentavious Caldwell-Pope,Bruce Brown,Jeff Green,Christian Braun,Peyton Watson,Vlatko Čančar,Reggie Jackson,Zeke Nnaji,Ish Smith,Thomas Bryant,DeAndre Jordan,Team Totals,T.J. Warren,Team Totals,,,,,
7,20230501,DEN,L,87,97,4,3,L 2,PHO,2023,True,91.8,.432,9.3,23.4,.053,94.8,91.8,.520,13.2,15.2,.237,105.6,Devin Booker,Kevin Durant,Deandre Ayton,Chris Paul,Josh Okogie,Damion Lee,Cameron Payne,Torrey Craig,Bismack Biyombo,Jock Landale,Ish Wainright,Darius Bazley,Terrence Ross,Landry Shamet,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Christian Braun,Jeff Green,Thomas Bryant,Vlatko Čančar,Reggie Jackson,DeAndre Jordan,Zeke Nnaji,Ish Smith,Peyton Watson,Team Totals,T.J. Warren,Team Totals,,,,,
8,20230505,DEN,W,121,114,5,3,W 1,PHO,2023,True,101.4,.553,8.0,16.7,.168,119.4,101.4,.495,10.9,32.0,.186,112.5,Kevin Durant,Devin Booker,Cameron Payne,Deandre Ayton,Josh Okogie,T.J. Warren,Landry Shamet,Jock Landale,Terrence Ross,Torrey Craig,Darius Bazley,Bismack Biyombo,Damion Lee,Chris Paul,Nikola Jokić,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Kentavious Caldwell-Pope,Bruce Brown,Jeff Green,Christian Braun,Thomas Bryant,Vlatko Čančar,Reggie Jackson,DeAndre Jordan,Zeke Nnaji,Ish Smith,Peyton Watson,Team Totals,Ish Wainright,Team Totals,,,,,
9,20230507,DEN,W,129,124,6,3,W 2,PHO,2023,True,93.8,.648,12.2,35.3,.296,137.5,93.8,.601,8.3,28.6,.191,132.2,Kevin Durant,Devin Booker,Deandre Ayton,Cameron Payne,Josh Okogie,Landry Shamet,Jock Landale,T.J. Warren,Terrence Ross,Torrey Craig,Darius Bazley,Bismack Biyombo,Damion Lee,Chris Paul,Jamal Murray,Michael Porter Jr.,Nikola Jokić,Aaron Gordon,Kentavious Caldwell-Pope,Bruce Brown,Jeff Green,Christian Braun,Thomas Bryant,Vlatko Čančar,Reggie Jackson,DeAndre Jordan,Zeke Nnaji,Ish Smith,Peyton Watson,Team Totals,Ish Wainright,Team Totals,,,,,
10,20230509,DEN,L,102,118,6,4,L 1,PHO,2023,True,97.2,.483,9.2,16.7,.193,104.9,97.2,.571,9.3,22.7,.247,121.4,Kevin Durant,Devin Booker,Deandre Ayton,Cameron Payne,Josh Okogie,Landry Shamet,Terrence Ross,Jock Landale,T.J. Warren,Torrey Craig,Damion Lee,Ish Wainright,Darius Bazley,Bismack Biyombo,Nikola Jokić,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Kentavious Caldwell-Pope,Bruce Brown,Christian Braun,Jeff Green,Reggie Jackson,Peyton Watson,Vlatko Čančar,Ish Smith,Zeke Nnaji,Thomas Bryant,DeAndre Jordan,Team Totals,Chris Paul,Team Totals,,,,,
11,20230511,DEN,L,100,125,6,5,L 2,PHO,2023,True,97.8,.551,13.8,5.6,.165,102.3,97.8,.585,10.3,20.6,.354,127.8,Cameron Payne,Kevin Durant,Landry Shamet,Devin Booker,Jock Landale,T.J. Warren,Torrey Craig,Damion Lee,Terrence Ross,Bismack Biyombo,Ish Wainright,Deandre Ayton,Darius Bazley,Josh Okogie,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jeff Green,Christian Braun,Reggie Jackson,Ish Smith,Peyton Watson,Vlatko Čančar,Zeke Nnaji,Thomas Bryant,DeAndre Jordan,Team Totals,Chris Paul,Team Totals,,,,,
1,20221019,SAC,W,115,108,1,0,W 1,POR,2023,False,101.7,.506,9.7,22.9,.295,113.0,101.7,.559,14.6,10.8,.153,106.2,Josh Hart,Damian Lillard,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Nassir Little,Greg Brown III,Keon Johnson,Jabari Walker,Team Totals,,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,KZ Okpala,Davion Mitchell,Terence Davis,Malik Monk,Trey Lyles,Richaun Holmes,Matthew Dellavedova,Alex Len,Chimezie Metu,Chima Moneke,Team Totals,,,,,,,,
3,20221023,LAL,W,106,104,3,0,W 3,POR,2023,False,100.2,.500,16.5,30.2,.262,105.8,100.2,.478,11.4,20.4,.174,103.8,Josh Hart,Anfernee Simons,Jerami Grant,Damian Lillard,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Nassir Little,Drew Eubanks,Greg Brown III,Keon Johnson,Jabari Walker,Team Totals,,LeBron James,Anthony Davis,Lonnie Walker IV,Patrick Beverley,Russell Westbrook,Troy Brown Jr.,Juan Toscano-Anderson,Austin Reaves,Kendrick Nunn,Damian Jones,Max Christie,Wenyen Gabriel,Scotty Pippen Jr.,Matt Ryan,Team Totals,,,,,,,,
4,20221024,DEN,W,135,110,4,0,W 4,POR,2023,False,95.1,.675,9.4,24.3,.277,142.0,95.1,.560,7.6,21.7,.088,115.7,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Damian Lillard,Josh Hart,Nassir Little,Shaedon Sharpe,Drew Eubanks,Keon Johnson,Greg Brown III,Jabari Walker,Justise Winslow,Team Totals,,Kentavious Caldwell-Pope,Aaron Gordon,Nikola Jokić,Jamal Murray,Michael Porter Jr.,Bruce Brown,Jeff Green,Bones Hyland,Christian Braun,DeAndre Jordan,Davon Reed,Zeke Nnaji,Ish Smith,Peyton Watson,Vlatko Čančar,Team Totals,,,,,,,
5,20221026,MIA,L,98,119,4,1,L 1,POR,2023,False,95.6,.513,17.5,26.2,.231,102.5,95.6,.592,15.9,35.7,.184,124.5,Josh Hart,Anfernee Simons,Jerami Grant,Damian Lillard,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Nassir Little,Drew Eubanks,Keon Johnson,Greg Brown III,Jabari Walker,Team Totals,,Caleb Martin,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Max Strus,Gabe Vincent,Duncan Robinson,Nikola Jović,Haywood Highsmith,Dru Smith,Dewayne Dedmon,Udonis Haslem,Team Totals,,,,,,,,,
6,20221028,HOU,W,125,111,5,1,W 1,POR,2023,False,102.0,.606,13.9,29.7,.178,122.5,102.0,.500,14.1,27.7,.181,108.8,Anfernee Simons,Jerami Grant,Josh Hart,Jusuf Nurkić,Shaedon Sharpe,Justise Winslow,Keon Johnson,Nassir Little,Drew Eubanks,Greg Brown III,Jabari Walker,Damian Lillard,Team Totals,,Kevin Porter Jr.,Eric Gordon,Jabari Smith Jr.,Jalen Green,Alperen Sengun,Jae'Sean Tate,KJ Martin,Tari Eason,Garrison Mathews,Daishen Nix,Usman Garuba,Josh Christopher,Trevor Hudgins,Boban Marjanović,Team Totals,,,,,,,,
7,20221102,MEM,L,106,111,5,2,L 1,POR,2023,False,99.4,.478,16.6,30.8,.236,106.7,99.4,.536,13.7,25.0,.265,111.7,Anfernee Simons,Josh Hart,Jerami Grant,Jusuf Nurkić,Shaedon Sharpe,Justise Winslow,Keon Johnson,Nassir Little,Drew Eubanks,Greg Brown III,Damian Lillard,Jabari Walker,Team Totals,,Desmond Bane,Steven Adams,Ja Morant,Dillon Brooks,Santi Aldama,Tyus Jones,John Konchar,David Roddy,Brandon Clarke,Kennedy Chandler,Jake LaRavia,Kenneth Lofton Jr.,Xavier Tillman Sr.,Vince Williams Jr.,Team Totals,,,,,,,,
10,20221107,MIA,W,110,107,7,3,W 1,POR,2023,False,95.3,.639,19.0,12.9,.250,115.5,95.3,.560,11.7,13.2,.155,112.3,Josh Hart,Jerami Grant,Damian Lillard,Anfernee Simons,Jusuf Nurkić,Justise Winslow,Drew Eubanks,Trendon Watford,Shaedon Sharpe,Nassir Little,Greg Brown III,Keon Johnson,Jabari Walker,Team Totals,Kyle Lowry,Caleb Martin,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Duncan Robinson,Dewayne Dedmon,Haywood Highsmith,Nikola Jović,Dru Smith,Team Totals,,,,,,,,,,,
11,20221109,CHO,W,105,95,8,3,W 2,POR,2023,False,91.6,.607,17.3,26.7,.187,114.6,91.6,.429,9.8,35.1,.187,103.7,Damian Lillard,Josh Hart,Anfernee Simons,Justise Winslow,Drew Eubanks,Shaedon Sharpe,Trendon Watford,Jabari Walker,Nassir Little,Greg Brown III,John Butler,Jusuf Nurkić,Team Totals,,Kelly Oubre Jr.,Terry Rozier,Dennis Smith Jr.,P.J. Washington,Mason Plumlee,Jalen McDaniels,James Bouknight,Nick Richards,Théo Maledon,JT Thor,Kai Jones,Bryce McGowens,Mark Williams,Team Totals,,,,,,,,,
13,20221112,DAL,L,112,117,9,4,L 1,POR,2023,False,94.1,.531,11.2,26.7,.338,119.0,94.1,.593,10.6,17.9,.259,124.4,Anfernee Simons,Jerami Grant,Damian Lillard,Josh Hart,Drew Eubanks,Shaedon Sharpe,Nassir Little,Trendon Watford,Jabari Walker,Greg Brown III,John Butler,Jusuf Nurkić,Team Totals,,Luka Dončić,Dorian Finney-Smith,Spencer Dinwiddie,Reggie Bullock,Dwight Powell,Tim Hardaway Jr.,Christian Wood,Josh Green,Maxi Kleber,Facundo Campazzo,JaVale McGee,Frank Ntilikina,Theo Pinson,Team Totals,,,,,,,,,
14,20221115,SAS,W,117,110,10,4,W 1,POR,2023,False,97.6,.614,15.8,25.0,.253,119.8,97.6,.571,17.0,26.8,.153,112.7,Damian Lillard,Jerami Grant,Josh Hart,Anfernee Simons,Jusuf Nurkić,Drew Eubanks,Shaedon Sharpe,Nassir Little,Trendon Watford,Greg Brown III,Jabari Walker,Justise Winslow,Team Totals,,Devin Vassell,Keldon Johnson,Jakob Poeltl,Jeremy Sochan,Tre Jones,Keita Bates-Diop,Josh Richardson,Doug McDermott,Charles Bassey,Isaiah Roby,Gorgui Dieng,Jordan Hall,Team Totals,,,,,,,,,,
15,20221117,BRK,L,107,109,10,5,L 1,POR,2023,False,101.7,.457,8.7,16.0,.237,105.2,101.7,.576,16.0,13.9,.228,107.2,Damian Lillard,Jerami Grant,Josh Hart,Anfernee Simons,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Nassir Little,Keon Johnson,Jabari Walker,Trendon Watford,Team Totals,,Kevin Durant,Royce O'Neale,Joe Harris,Nic Claxton,Edmond Sumner,Ben Simmons,Yuta Watanabe,Seth Curry,Cam Thomas,Patty Mills,David Duke Jr.,Kessler Edwards,Markieff Morris,Day'Ron Sharpe,Team Totals,,,,,,,,
16,20221119,UTA,L,113,118,10,6,L 2,POR,2023,False,100.2,.548,15.9,24.4,.265,112.8,100.2,.538,11.4,25.0,.220,117.8,Jerami Grant,Anfernee Simons,Josh Hart,Jusuf Nurkić,Damian Lillard,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Nassir Little,Trendon Watford,Keon Johnson,Jabari Walker,Team Totals,,Jordan Clarkson,Lauri Markkanen,Kelly Olynyk,Jarred Vanderbilt,Mike Conley,Talen Horton-Tucker,Malik Beasley,Collin Sexton,Simone Fontecchio,Walker Kessler,Nickeil Alexander-Walker,Udoka Azubuike,Team Totals,,,,,,,,,,
17,20221121,MIL,L,111,119,10,7,L 3,POR,2023,False,100.7,.516,13.6,27.3,.161,110.3,100.7,.599,12.6,26.3,.186,118.2,Josh Hart,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Shaedon Sharpe,Nassir Little,Justise Winslow,Drew Eubanks,Trendon Watford,John Butler,Jabari Walker,Damian Lillard,Team Totals,,Giannis Antetokounmpo,Grayson Allen,Brook Lopez,Jrue Holiday,Jevon Carter,Bobby Portis,George Hill,Jordan Nwora,Pat Connaughton,MarJon Beauchamp,Serge Ibaka,Sandro Mamukelashvili,A.J. Green,Thanasis Antetokounmpo,Team Totals,,,,,,,,
18,20221123,CLE,L,96,114,10,8,L 4,POR,2023,False,87.6,.532,16.9,28.2,.167,109.5,87.6,.635,16.8,34.4,.270,130.1,Anfernee Simons,Jerami Grant,Josh Hart,Jusuf Nurkić,Justise Winslow,Nassir Little,Drew Eubanks,Trendon Watford,Shaedon Sharpe,John Butler,Jabari Walker,Damian Lillard,Team Totals,,Jarrett Allen,Darius Garland,Evan Mobley,Donovan Mitchell,Lamar Stevens,Cedi Osman,Isaac Okoro,Dean Wade,Robin Lopez,Isaiah Mobley,Raul Neto,Team Totals,,,,,,,,,,,
20,20221127,BRK,L,97,111,11,9,L 1,POR,2023,False,89.0,.519,12.8,24.4,.190,109.0,89.0,.622,8.5,11.4,.179,124.7,Jerami Grant,Anfernee Simons,Justise Winslow,Josh Hart,Jusuf Nurkić,Shaedon Sharpe,Trendon Watford,Drew Eubanks,Nassir Little,John Butler,Damian Lillard,Jabari Walker,Team Totals,,Royce O'Neale,Kyrie Irving,Kevin Durant,Ben Simmons,Nic Claxton,Seth Curry,Joe Harris,Edmond Sumner,Cam Thomas,Kessler Edwards,Patty Mills,Markieff Morris,Day'Ron Sharpe,Team Totals,,,,,,,,,
21,20221129,LAC,L,112,118,11,10,L 2,POR,2023,False,97.2,.561,10.2,20.9,.122,115.2,97.2,.534,11.4,29.2,.258,121.4,Anfernee Simons,Jerami Grant,Justise Winslow,Josh Hart,Jusuf Nurkić,Trendon Watford,Nassir Little,Shaedon Sharpe,Drew Eubanks,Greg Brown III,Damian Lillard,Jabari Walker,Team Totals,,Reggie Jackson,Marcus Morris,Ivica Zubac,Terance Mann,Amir Coffey,Nicolas Batum,Norman Powell,Robert Covington,Moussa Diabaté,Jason Preston,Moses Brown,Team Totals,,,,,,,,,,,
22,20221130,LAL,L,109,128,11,11,L 3,POR,2023,False,98.9,.511,10.8,25.5,.189,110.2,98.9,.567,6.9,28.3,.186,129.4,Anfernee Simons,Justise Winslow,Jerami Grant,Jusuf Nurkić,Trendon Watford,Shaedon Sharpe,Jabari Walker,Drew Eubanks,Greg Brown III,John Butler,Keon Johnson,Damian Lillard,Team Totals,,Austin Reaves,LeBron James,Anthony Davis,Dennis Schröder,Patrick Beverley,Russell Westbrook,Thomas Bryant,Max Christie,Kendrick Nunn,Wenyen Gabriel,Damian Jones,Matt Ryan,Juan Toscano-Anderson,Troy Brown Jr.,Lonnie Walker IV,Team Totals,,,,,,,
23,20221203,UTA,W,116,111,12,11,W 1,POR,2023,False,97.9,.541,11.6,26.1,.282,118.5,97.9,.530,11.9,21.3,.262,113.4,Anfernee Simons,Justise Winslow,Jusuf Nurkić,Jerami Grant,Trendon Watford,Greg Brown III,Shaedon Sharpe,Jabari Walker,Drew Eubanks,Keon Johnson,Damian Lillard,Team Totals,,,Jordan Clarkson,Lauri Markkanen,Kelly Olynyk,Jarred Vanderbilt,Collin Sexton,Malik Beasley,Talen Horton-Tucker,Walker Kessler,Simone Fontecchio,Ochai Agbaji,Nickeil Alexander-Walker,Udoka Azubuike,Leandro Bolmaro,Team Totals,,,,,,,,,
24,20221204,IND,W,116,100,13,11,W 2,POR,2023,False,97.2,.587,13.6,25.6,.174,119.4,97.2,.495,13.5,26.1,.110,102.9,Anfernee Simons,Jerami Grant,Josh Hart,Damian Lillard,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Trendon Watford,Drew Eubanks,Greg Brown III,Jabari Walker,Keon Johnson,Team Totals,,Buddy Hield,Andrew Nembhard,Myles Turner,Aaron Nesmith,Jalen Smith,Bennedict Mathurin,Oshae Brissett,Isaiah Jackson,Trevelin Queen,James Johnson,Kendall Brown,Terry Taylor,Goga Bitadze,Team Totals,,,,,,,,,
25,20221208,DEN,L,120,121,13,12,L 1,POR,2023,False,96.6,.571,11.7,28.9,.176,124.2,96.6,.582,13.7,39.0,.165,125.2,Jerami Grant,Damian Lillard,Josh Hart,Anfernee Simons,Jusuf Nurkić,Justise Winslow,Drew Eubanks,Shaedon Sharpe,Trendon Watford,Keon Johnson,Greg Brown III,Jabari Walker,Team Totals,,Jamal Murray,Nikola Jokić,Aaron Gordon,Kentavious Caldwell-Pope,Bruce Brown,Bones Hyland,Christian Braun,Jeff Green,DeAndre Jordan,Vlatko Čančar,Zeke Nnaji,Davon Reed,Ish Smith,Peyton Watson,Team Totals,,,,,,,,
26,20221210,MIN,W,124,118,14,12,W 1,POR,2023,False,99.0,.596,14.4,31.4,.301,125.2,99.0,.602,12.2,10.5,.217,119.2,Damian Lillard,Jerami Grant,Anfernee Simons,Josh Hart,Jusuf Nurkić,Shaedon Sharpe,Drew Eubanks,Justise Winslow,Trendon Watford,Greg Brown III,Keon Johnson,Jabari Walker,Team Totals,,Anthony Edwards,Kyle Anderson,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Austin Rivers,Jaylen Nowell,Naz Reid,Wendell Moore Jr.,Bryn Forbes,Luka Garza,Nathan Knight,Matt Ryan,Team Totals,,,,,,,,,
27,20221212,MIN,W,133,112,15,12,W 2,POR,2023,False,104.1,.657,16.2,26.8,.180,127.8,104.1,.548,9.0,14.0,.108,107.6,Anfernee Simons,Jerami Grant,Damian Lillard,Josh Hart,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Trendon Watford,Jabari Walker,Keon Johnson,Gary Payton II,Team Totals,,Anthony Edwards,Rudy Gobert,D'Angelo Russell,Jaden McDaniels,Kyle Anderson,Jaylen Nowell,Naz Reid,Bryn Forbes,Austin Rivers,Nathan Knight,Wendell Moore Jr.,Matt Ryan,Luka Garza,Josh Minott,Team Totals,,,,,,,,
28,20221214,SAS,W,128,112,16,12,W 3,POR,2023,False,99.5,.716,16.1,16.1,.148,128.7,99.5,.521,9.5,28.6,.113,112.6,Damian Lillard,Jerami Grant,Anfernee Simons,Josh Hart,Jusuf Nurkić,Shaedon Sharpe,Justise Winslow,Drew Eubanks,Trendon Watford,Keon Johnson,Jabari Walker,Gary Payton II,Team Totals,,Keldon Johnson,Tre Jones,Keita Bates-Diop,Josh Richardson,Charles Bassey,Devin Vassell,Gorgui Dieng,Jeremy Sochan,Doug McDermott,Isaiah Roby,Malaki Branham,Stanley Johnson,Dominick Barlow,Team Totals,,,,,,,,,
29,20221216,DAL,L,110,130,16,13,L 1,POR,2023,False,100.4,.511,10.7,21.3,.213,109.6,100.4,.667,12.3,8.6,.272,129.5,Damian Lillard,Anfernee Simons,Josh Hart,Jusuf Nurkić,Jerami Grant,Shaedon Sharpe,Trendon Watford,Keon Johnson,Justise Winslow,Drew Eubanks,Greg Brown III,Jabari Walker,Team Totals,,Luka Dončić,Dorian Finney-Smith,Tim Hardaway Jr.,Spencer Dinwiddie,Dwight Powell,Christian Wood,Reggie Bullock,Frank Ntilikina,Kemba Walker,Jaden Hardy,JaVale McGee,Theo Pinson,Team Totals,,,,,,,,,,
30,20221217,HOU,W,107,95,17,13,W 1,POR,2023,False,95.2,.547,13.0,23.3,.165,112.4,95.2,.417,14.2,40.9,.222,99.8,Anfernee Simons,Damian Lillard,Josh Hart,Justise Winslow,Jusuf Nurkić,Trendon Watford,Shaedon Sharpe,Keon Johnson,Drew Eubanks,Greg Brown III,Jabari Walker,Gary Payton II,Team Totals,,Jalen Green,Kevin Porter Jr.,Jabari Smith Jr.,Alperen Sengun,Eric Gordon,KJ Martin,Tari Eason,Daishen Nix,TyTy Washington Jr.,Usman Garuba,Bruno Fernando,Boban Marjanović,Team Totals,,,,,,,,,,
