Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp
20240428,LAC,L,111,116,2,1,2,DAL,True,89.97,0.49,10.37,23.5,0.24,108.97,95.07,0.58,9.4,25.47,0.22,124.6,11.87,10.24,2.96,6.59
20240428,MIN,L,116,122,0,3,-3,PHO,True,93.83,0.51,14.57,15.7,0.28,105.5,,,,,,,10.93,14.83,2.05,2.77
20240428,MIL,W,126,113,2,1,2,IND,True,92.83,0.52,7.97,26.73,0.14,118.33,97.33,0.55,8.9,25.3,0.17,120.97,15.97,10.83,3.2,2.75
20240427,LAL,L,108,119,3,0,3,DEN,True,93.6,0.51,8.5,27.77,0.14,116.5,102.47,0.57,12.57,30.03,0.15,120.7,16.91,14.21,0.99,2.28
20240427,MIA,W,104,84,1,1,-1,BOS,True,92.37,0.58,9.63,25.17,0.15,124.83,98.33,0.56,12.77,20.63,0.2,115.33,11.83,12.14,9.15,6.86
20240427,OKC,L,85,106,0,2,-2,NOP,True,92.2,0.5,14.83,27.67,0.15,104.43,105.83,0.44,14.13,16.07,0.15,89.47,10.21,12.01,1.94,4.53
20240427,CLE,W,112,89,1,2,1,ORL,True,93.57,0.46,11.6,26.37,0.2,103.47,98.77,0.54,13.9,22.87,0.24,113.93,9.68,10.92,2.88,2.12
20240426,LAC,W,101,90,1,1,1,DAL,True,92.93,0.48,13.63,22.13,0.22,101.4,95.07,0.58,9.4,25.47,0.22,124.6,11.5,14.45,3.45,6.81
20240426,MIN,L,109,126,0,2,-2,PHO,True,93.27,0.55,15.3,23.23,0.21,112.0,,,,,,,12.04,12.81,1.44,2.57
20240426,MIL,W,121,118,1,1,1,IND,True,95.13,0.55,8.07,18.1,0.16,117.93,97.33,0.55,8.9,25.3,0.17,120.97,16.51,12.5,3.96,2.28
20240425,PHI,L,114,125,2,0,2,NYK,True,91.17,0.51,11.67,36.87,0.21,118.47,95.9,0.48,12.93,21.13,0.18,101.83,13.27,14.19,3.54,3.98
20240425,CLE,W,121,83,0,2,-2,ORL,True,94.33,0.45,13.17,21.87,0.22,99.57,98.77,0.54,13.9,22.87,0.24,113.93,8.65,14.02,2.98,3.16
20240425,LAL,W,112,105,2,0,2,DEN,True,95.57,0.54,9.73,29.57,0.16,118.8,102.47,0.57,12.57,30.03,0.15,120.7,16.01,16.64,2.04,2.59
20240424,OKC,L,92,124,0,1,-1,NOP,True,94.93,0.5,12.43,28.4,0.1,106.33,105.83,0.44,14.13,16.07,0.15,89.47,11.34,11.84,2.69,5.62
