G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
22,20231212,CLE,W,120,113,17,5,W 2,BOS,2024,False,97.3,.560,13.6,29.3,.310,123.3,96.8,.582,11.9,15.4,.065,116.7,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Team Totals,,Darius Garland,Max Strus,Jarrett Allen,Donovan Mitchell,Dean Wade,Georges Niang,Caris LeVert,Isaac Okoro,Tristan Thompson,Damian Jones,Sam Merrill,Craig Porter Jr.,Team Totals,,,
23,20231214,CLE,W,116,107,18,5,W 3,BOS,2024,False,93.9,.582,12.2,30.2,.200,123.5,93.9,.548,15.0,22.5,.193,113.9,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Lamar Stevens,Dalano Banton,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Team Totals,,,Donovan Mitchell,Jarrett Allen,Darius Garland,Max Strus,Dean Wade,Caris LeVert,Georges Niang,Isaac Okoro,Tristan Thompson,Damian Jones,Sam Merrill,Craig Porter Jr.,Team Totals,,,
24,20231215,ORL,W,128,111,19,5,W 4,BOS,2024,False,99.7,.620,9.8,22.0,.152,128.4,99.2,.563,18.1,34.2,.149,111.9,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Lamar Stevens,Sam Hauser,Payton Pritchard,Neemias Queta,Oshae Brissett,Svi Mykhailiuk,Kristaps Porziņģis,Team Totals,,,,,Franz Wagner,Paolo Banchero,Anthony Black,Goga Bitadze,Jalen Suggs,Cole Anthony,Gary Harris,Jonathan Isaac,Moritz Wagner,Caleb Houstan,Joe Ingles,Jett Howard,Chuma Okeke,Admiral Schofield,Team Totals,
25,20231217,ORL,W,114,97,20,5,W 5,BOS,2024,False,97.8,.563,12.4,23.3,.074,116.5,98.3,.444,8.3,18.2,.202,98.6,Jrue Holiday,Jaylen Brown,Jayson Tatum,Kristaps Porziņģis,Derrick White,Al Horford,Payton Pritchard,Sam Hauser,Neemias Queta,Dalano Banton,Oshae Brissett,Lamar Stevens,Svi Mykhailiuk,Team Totals,,,Franz Wagner,Paolo Banchero,Jalen Suggs,Goga Bitadze,Anthony Black,Gary Harris,Cole Anthony,Jonathan Isaac,Caleb Houstan,Moritz Wagner,Jett Howard,Chuma Okeke,Admiral Schofield,Joe Ingles,Team Totals,
26,20231219,GSW,L,126,132,20,6,L 1,BOS,2024,False,95.5,.487,6.2,30.5,.132,119.5,95.5,.550,8.0,32.7,.110,125.2,Jaylen Brown,Jayson Tatum,Derrick White,Al Horford,Jrue Holiday,Neemias Queta,Sam Hauser,Payton Pritchard,Oshae Brissett,Svi Mykhailiuk,Dalano Banton,Lamar Stevens,Team Totals,,,,Klay Thompson,Stephen Curry,Jonathan Kuminga,Brandin Podziemski,Kevon Looney,Chris Paul,Trayce Jackson-Davis,Andrew Wiggins,Moses Moody,Dario Šarić,Cory Joseph,Draymond Green,Gary Payton II,Team Totals,,
27,20231220,SAC,W,144,119,21,6,W 1,BOS,2024,False,94.6,.674,8.1,35.9,.217,152.2,94.6,.588,6.5,25.0,.132,125.8,Sam Hauser,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Payton Pritchard,Neemias Queta,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Dalano Banton,Team Totals,,,,,Harrison Barnes,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Kevin Huerter,Trey Lyles,Malik Monk,Keon Ellis,Sasha Vezenkov,JaVale McGee,Kessler Edwards,Chris Duarte,Davion Mitchell,Juan Toscano-Anderson,Team Totals,
28,20231223,LAC,W,145,108,22,6,W 2,BOS,2024,False,95.9,.654,8.6,37.5,.234,151.1,95.9,.522,10.3,20.0,.169,112.6,Jayson Tatum,Jaylen Brown,Derrick White,Jrue Holiday,Al Horford,Payton Pritchard,Neemias Queta,Sam Hauser,Oshae Brissett,Lamar Stevens,Dalano Banton,Drew Peterson,JD Davison,Jordan Walsh,Team Totals,,Paul George,James Harden,Ivica Zubac,Terance Mann,Amir Coffey,Kobe Brown,Norman Powell,Daniel Theis,Russell Westbrook,Brandon Boston Jr.,Bones Hyland,P.J. Tucker,Team Totals,,,
29,20231225,LAL,W,126,115,23,6,W 3,BOS,2024,False,96.7,.577,7.2,26.8,.231,130.3,96.7,.550,10.8,28.3,.178,118.9,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Derrick White,Jaylen Brown,Al Horford,Sam Hauser,Payton Pritchard,Neemias Queta,Dalano Banton,Oshae Brissett,JD Davison,Luke Kornet,Drew Peterson,Jordan Walsh,Team Totals,Taurean Prince,Anthony Davis,LeBron James,Jarred Vanderbilt,Cam Reddish,Rui Hachimura,Austin Reaves,D'Angelo Russell,Jaxson Hayes,Max Christie,Jalen Hood-Schifino,Maxwell Lewis,Christian Wood,Team Totals,,
30,20231228,DET,W,128,122,24,6,W 4,BOS,2024,False,97.0,.540,9.8,22.4,.212,119.5,97.5,.545,14.8,37.3,.119,113.4,Jrue Holiday,Jayson Tatum,Derrick White,Al Horford,Kristaps Porziņģis,Payton Pritchard,Neemias Queta,Sam Hauser,Oshae Brissett,Dalano Banton,Luke Kornet,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Bojan Bogdanović,Cade Cunningham,Jalen Duren,Jaden Ivey,Kevin Knox,Alec Burks,Isaiah Livers,James Wiseman,Ausar Thompson,Killian Hayes,Marvin Bagley III,Joe Harris,Marcus Sasser,Team Totals,,
31,20231229,TOR,W,120,118,25,6,W 5,BOS,2024,False,96.9,.585,14.2,31.0,.193,123.8,97.4,.553,4.6,18.8,.137,121.1,Jaylen Brown,Derrick White,Sam Hauser,Luke Kornet,Jrue Holiday,Payton Pritchard,Oshae Brissett,Neemias Queta,Svi Mykhailiuk,Dalano Banton,Lamar Stevens,Jayson Tatum,Team Totals,,,,Pascal Siakam,Scottie Barnes,OG Anunoby,Gary Trent Jr.,Jakob Poeltl,Dennis Schröder,Jalen McDaniels,Otto Porter Jr.,Chris Boucher,Malachi Flynn,Precious Achiuwa,Gradey Dick,Thaddeus Young,Team Totals,,
