,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
1736,17,20211122,SAS,W,115,111,14,3,13,PHO,2022,False,100.3,0.58,13.6,25.0,0.148,114.7,100.3,0.554,13.0,25.0,0.086,110.7,"['Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Chris Paul', 'Jae Crowder']","['Landry Shamet', 'Cameron Johnson', 'Cameron Payne', 'JaVale McGee', 'Chandler Hutchison', 'Abdel Nader', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Derrick White', 'Dejounte Murray', 'Jakob Poeltl', 'Keldon Johnson', 'Keita Bates-Diop']","['Devin Vassell', 'Lonnie Walker IV', 'Drew Eubanks', 'Tre Jones', 'Bryn Forbes', 'Thaddeus Young']"
1737,18,20211124,CLE,W,120,115,15,3,14,PHO,2022,False,101.7,0.57,13.2,24.4,0.256,117.9,101.7,0.505,8.5,26.0,0.175,113.0,"['Devin Booker', 'Mikal Bridges', 'Chris Paul', 'Jae Crowder', 'Deandre Ayton']","['Cameron Payne', 'Cameron Johnson', 'JaVale McGee', 'Landry Shamet', 'Chandler Hutchison', 'Abdel Nader', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Jarrett Allen', 'Lauri Markkanen', 'Isaac Okoro', 'Darius Garland', 'Dean Wade']","['Ricky Rubio', 'Cedi Osman', 'Kevin Love', 'Denzel Valentine', 'Ed Davis', 'Tacko Fall', 'RJ Nembhard Jr.', 'Kevin Pangos', 'Dylan Windler']"
1738,20,20211127,BRK,W,113,107,17,3,16,PHO,2022,False,101.0,0.516,11.4,22.9,0.196,111.8,101.0,0.542,17.7,25.0,0.19,105.9,"['Mikal Bridges', 'Chris Paul', 'Devin Booker', 'Deandre Ayton', 'Jae Crowder']","['Cameron Payne', 'Cameron Johnson', 'JaVale McGee', 'Landry Shamet', 'Chandler Hutchison', 'Abdel Nader', 'Elfrid Payton', 'Jalen Smith', 'Ish Wainright']","['Kevin Durant', 'James Harden', 'Patty Mills', ""DeAndre' Bembry"", 'LaMarcus Aldridge']","['James Johnson', 'Cam Thomas', 'Paul Millsap', 'Bruce Brown', 'Jevon Carter', 'Kessler Edwards', 'Blake Griffin', ""Day'Ron Sharpe""]"
1739,21,20211130,GSW,W,104,96,18,3,17,PHO,2022,False,95.7,0.563,12.4,18.2,0.069,108.7,95.7,0.5,20.0,35.7,0.116,100.3,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Jae Crowder', 'Devin Booker']","['Cameron Johnson', 'Landry Shamet', 'Cameron Payne', 'JaVale McGee', 'Elfrid Payton', 'Chandler Hutchison', 'Abdel Nader', 'Jalen Smith', 'Ish Wainright']","['Stephen Curry', 'Jordan Poole', 'Andrew Wiggins', 'Draymond Green', 'Kevon Looney']","['Otto Porter Jr.', 'Nemanja Bjelica', 'Gary Payton II', 'Juan Toscano-Anderson', 'Chris Chiozza', 'Jonathan Kuminga', 'Moses Moody']"
1740,22,20211202,DET,W,114,103,19,3,18,PHO,2022,False,96.3,0.62,14.4,17.1,0.203,118.3,96.3,0.519,12.4,15.6,0.25,106.9,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Landry Shamet', 'Jae Crowder']","['Cameron Johnson', 'Cameron Payne', 'JaVale McGee', 'Elfrid Payton', 'Ish Wainright', 'Devin Booker', 'Chandler Hutchison', 'Abdel Nader', 'Jalen Smith']","['Jerami Grant', 'Isaiah Stewart', 'Killian Hayes', 'Cade Cunningham', 'Saddiq Bey']","['Hamidou Diallo', 'Frank Jackson', 'Cory Joseph', 'Trey Lyles', 'Luka Garza', 'Josh Jackson', 'Saben Lee', 'Rodney McGruder']"
1741,23,20211203,GSW,L,96,118,19,4,-1,PHO,2022,False,100.6,0.432,14.2,18.4,0.321,95.5,100.6,0.592,14.9,27.5,0.098,117.3,"['Chris Paul', 'Deandre Ayton', 'Jae Crowder', 'Mikal Bridges', 'Landry Shamet']","['Cameron Johnson', 'Cameron Payne', 'Ish Wainright', 'JaVale McGee', 'Elfrid Payton', 'Jalen Smith', 'Devin Booker', 'Abdel Nader']","['Stephen Curry', 'Jordan Poole', 'Draymond Green', 'Andrew Wiggins', 'Kevon Looney']","['Gary Payton II', 'Juan Toscano-Anderson', 'Otto Porter Jr.', 'Nemanja Bjelica', 'Damion Lee', 'Andre Iguodala']"
1742,24,20211206,SAS,W,108,104,20,4,1,PHO,2022,False,102.3,0.511,14.3,31.9,0.128,105.6,102.3,0.489,12.9,20.9,0.14,101.7,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Jae Crowder', 'Landry Shamet']","['Cameron Johnson', 'Cameron Payne', 'JaVale McGee', 'Elfrid Payton', 'Ish Wainright', 'Devin Booker', 'Abdel Nader', 'Jalen Smith']","['Dejounte Murray', 'Jakob Poeltl', 'Keldon Johnson', 'Doug McDermott', 'Derrick White']","['Bryn Forbes', 'Lonnie Walker IV', 'Joshua Primo', 'Tre Jones', 'Thaddeus Young', 'Drew Eubanks', 'Keita Bates-Diop', 'Jock Landale', 'Joe Wieskamp']"
1743,25,20211210,BOS,W,111,90,21,4,2,PHO,2022,False,96.6,0.521,10.6,31.1,0.115,115.0,96.6,0.398,11.2,27.8,0.172,93.2,"['Mikal Bridges', 'Jae Crowder', 'Chris Paul', 'JaVale McGee', 'Landry Shamet']","['Cameron Johnson', 'Cameron Payne', 'Jalen Smith', 'Elfrid Payton', 'Ish Wainright', 'Chandler Hutchison', 'Deandre Ayton', 'Devin Booker']","['Jayson Tatum', 'Dennis Schröder', 'Marcus Smart', 'Al Horford', 'Robert Williams']","['Grant Williams', 'Romeo Langford', 'Aaron Nesmith', 'Payton Pritchard', 'Enes Freedom', 'Jabari Parker', 'Juancho Hernangómez']"
1744,26,20211213,LAC,L,95,111,21,5,-1,PHO,2022,False,96.9,0.411,9.5,26.0,0.167,98.0,96.9,0.609,16.2,22.2,0.205,114.6,"['Chris Paul', 'Mikal Bridges', 'Landry Shamet', 'JaVale McGee', 'Jae Crowder']","['Cameron Johnson', 'Cameron Payne', 'Elfrid Payton', 'Ish Wainright', 'Chandler Hutchison', 'Deandre Ayton', 'Devin Booker']","['Terance Mann', 'Luke Kennard', 'Marcus Morris', 'Reggie Jackson', 'Ivica Zubac']","['Eric Bledsoe', 'Isaiah Hartenstein', 'Brandon Boston Jr.', 'Justise Winslow', 'Keon Johnson', 'Serge Ibaka']"
1745,27,20211214,POR,W,111,107,22,5,1,PHO,2022,False,94.5,0.532,12.3,18.2,0.129,106.4,94.5,0.484,11.7,22.6,0.146,102.5,"['Deandre Ayton', 'Chris Paul', 'Jae Crowder', 'Mikal Bridges', 'Landry Shamet']","['Cameron Payne', 'Cameron Johnson', 'Elfrid Payton', 'JaVale McGee', 'Devin Booker', 'Ish Wainright']","['Damian Lillard', 'Norman Powell', 'Jusuf Nurkić', 'Larry Nance Jr.', 'Nassir Little']","['Robert Covington', 'Anfernee Simons', 'Tony Snell', 'Ben McLemore', 'Greg Brown III', 'CJ Elleby', 'Dennis Smith Jr.', 'Trendon Watford']"
1746,28,20211216,WAS,W,118,98,23,5,2,PHO,2022,False,99.3,0.589,18.1,25.7,0.316,118.8,99.3,0.524,15.0,13.6,0.146,98.6,"['Landry Shamet', 'Mikal Bridges', 'Deandre Ayton', 'Jae Crowder', 'Chris Paul']","['Cameron Johnson', 'Cameron Payne', 'Elfrid Payton', 'Jalen Smith', 'JaVale McGee', 'Ish Wainright', 'Devin Booker']","['Bradley Beal', 'Kentavious Caldwell-Pope', 'Kyle Kuzma', 'Daniel Gafford', 'Aaron Holiday']","['Deni Avdija', 'Montrezl Harrell', 'Raul Neto', 'Corey Kispert', 'Dāvis Bertāns', 'Anthony Gill']"
1747,29,20211219,CHO,W,137,106,24,5,3,PHO,2022,False,106.3,0.674,15.2,25.0,0.095,128.9,106.3,0.41,7.4,21.7,0.24,99.7,"['Mikal Bridges', 'Devin Booker', 'Chris Paul', 'Deandre Ayton', 'Jae Crowder']","['Cameron Payne', 'Landry Shamet', 'Cameron Johnson', 'Elfrid Payton', 'JaVale McGee', 'Jalen Smith', 'Ish Wainright']","['Miles Bridges', 'Gordon Hayward', 'LaMelo Ball', 'Terry Rozier', 'Mason Plumlee']","['Jalen McDaniels', 'Ish Smith', 'Kelly Oubre Jr.', 'P.J. Washington', 'James Bouknight', 'Nick Richards']"
1748,30,20211221,LAL,W,108,90,25,5,4,PHO,2022,False,105.2,0.505,13.8,16.3,0.151,102.6,105.2,0.431,13.4,11.8,0.172,85.5,"['Mikal Bridges', 'Devin Booker', 'Chris Paul', 'Deandre Ayton', 'Jae Crowder']","['Cameron Johnson', 'Cameron Payne', 'Landry Shamet', 'JaVale McGee', 'Jalen Smith', 'Ish Wainright', 'Elfrid Payton']","['Russell Westbrook', 'LeBron James', 'Talen Horton-Tucker', 'Wayne Ellington', 'DeAndre Jordan']","['Isaiah Thomas', 'Rajon Rondo', 'Trevor Ariza', 'Carmelo Anthony', 'Mason Jones', 'Jemerrio Jones', 'Jay Huff', 'Dwight Howard']"
