,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
600,60,20240304,CHI,L,109,113,34,26,-1,SAC,2024,False,93.2,0.505,15.3,44.4,0.174,116.9,93.2,0.565,9.6,18.4,0.214,121.2,"[""De'Aaron Fox"", 'Keegan Murray', 'Domantas Sabonis', 'Harrison Barnes', 'Kevin Huerter']","['Malik Monk', 'Trey Lyles', 'Chris Duarte', 'Alex Len', 'Davion Mitchell', 'Kessler Edwards', 'Keon Ellis', 'Colby Jones', 'Mason Jones', 'JaVale McGee']","['Coby White', 'Ayo Dosunmu', 'DeMar DeRozan', 'Alex Caruso', 'Nikola Vučević']","['Andre Drummond', 'Julian Phillips', 'Onuralp Bitim', 'Jevon Carter', 'Torrey Craig', 'Terry Taylor', 'Dalen Terry']"
601,61,20240306,LAL,W,130,120,35,26,1,SAC,2024,False,103.7,0.619,12.0,22.5,0.103,125.4,103.2,0.611,13.2,7.5,0.259,116.3,"[""De'Aaron Fox"", 'Domantas Sabonis', 'Keegan Murray', 'Harrison Barnes', 'Kevin Huerter']","['Malik Monk', 'Trey Lyles', 'Davion Mitchell', 'Keon Ellis', 'Alex Len', 'Chris Duarte', 'Kessler Edwards', 'Mason Jones', 'JaVale McGee']","['LeBron James', 'Austin Reaves', ""D'Angelo Russell"", 'Anthony Davis', 'Rui Hachimura']","['Spencer Dinwiddie', 'Taurean Prince', 'Jaxson Hayes', 'Max Christie', 'Harry Giles', 'Jalen Hood-Schifino', 'Maxwell Lewis', 'Cam Reddish']"
602,62,20240307,SAS,W,131,129,36,26,2,SAC,2024,False,102.6,0.559,10.6,33.3,0.167,127.7,102.6,0.593,10.7,22.0,0.231,125.7,"['Domantas Sabonis', ""De'Aaron Fox"", 'Keegan Murray', 'Harrison Barnes', 'Kevin Huerter']","['Malik Monk', 'Trey Lyles', 'Keon Ellis', 'Davion Mitchell', 'Alex Len', 'Chris Duarte', 'Kessler Edwards', 'Colby Jones', 'JaVale McGee', 'Jalen Slawson']","['Devin Vassell', 'Jeremy Sochan', 'Zach Collins', 'Tre Jones', 'Julian Champagnie']","['Keldon Johnson', 'Malaki Branham', 'Blake Wesley', 'Dominick Barlow', 'Cedi Osman', 'Sandro Mamukelashvili', ""Devonte' Graham""]"
603,63,20240310,HOU,L,104,112,36,27,-1,SAC,2024,False,100.0,0.488,11.9,16.3,0.233,104.0,99.5,0.536,11.1,14.0,0.262,112.5,"['Domantas Sabonis', ""De'Aaron Fox"", 'Keegan Murray', 'Kevin Huerter', 'Harrison Barnes']","['Malik Monk', 'Trey Lyles', 'Davion Mitchell', 'Keon Ellis', 'Alex Len', 'Chris Duarte', 'Kessler Edwards', 'Mason Jones', 'JaVale McGee']","['Fred VanVleet', 'Jalen Green', 'Jabari Smith Jr.', 'Dillon Brooks', 'Alperen Sengun']","['Amen Thompson', 'Cam Whitmore', 'Jock Landale', 'Jeff Green', 'Aaron Holiday', 'Reggie Bullock', 'Boban Marjanović', ""Jae'Sean Tate"", 'Jeenathan Williams']"
604,64,20240312,MIL,W,129,94,37,27,1,SAC,2024,False,99.7,0.63,8.3,15.0,0.141,129.4,99.2,0.409,11.8,18.2,0.329,94.8,"['Domantas Sabonis', ""De'Aaron Fox"", 'Harrison Barnes', 'Keon Ellis', 'Kevin Huerter']","['Malik Monk', 'Davion Mitchell', 'Chris Duarte', 'Alex Len', 'Trey Lyles', 'JaVale McGee', 'Colby Jones', 'Kessler Edwards', 'Jalen Slawson', 'Jordan Ford']","['Damian Lillard', 'Giannis Antetokounmpo', 'Brook Lopez', 'Malik Beasley', 'Jae Crowder']","['Patrick Beverley', 'Pat Connaughton', 'Bobby Portis', 'A.J. Green', 'Danilo Gallinari', 'Thanasis Antetokounmpo', 'Andre Jackson Jr.']"
605,65,20240313,LAL,W,120,107,38,27,2,SAC,2024,False,95.2,0.631,13.0,22.5,0.102,126.1,94.2,0.577,13.8,16.7,0.218,113.6,"['Keegan Murray', 'Harrison Barnes', 'Domantas Sabonis', ""De'Aaron Fox"", 'Keon Ellis']","['Malik Monk', 'Davion Mitchell', 'Alex Len', 'Chris Duarte', 'Kessler Edwards', 'Colby Jones', 'Jordan Ford', 'Mason Jones', 'JaVale McGee', 'Jalen Slawson']","['Anthony Davis', 'LeBron James', 'Austin Reaves', 'Rui Hachimura', ""D'Angelo Russell""]","['Spencer Dinwiddie', 'Taurean Prince', 'Max Christie', 'Jaxson Hayes', 'Harry Giles', 'Maxwell Lewis', 'Skylar Mays']"
606,67,20240318,MEM,W,121,111,39,28,1,SAC,2024,False,97.0,0.505,15.0,30.6,0.277,113.0,97.0,0.444,11.2,25.4,0.245,103.7,"[""De'Aaron Fox"", 'Keegan Murray', 'Domantas Sabonis', 'Harrison Barnes', 'Kevin Huerter']","['Malik Monk', 'Keon Ellis', 'Chris Duarte', 'Alex Len', 'Davion Mitchell', 'Kessler Edwards', 'Colby Jones', 'Mason Jones', 'JaVale McGee', 'Jalen Slawson']","['GG Jackson II', 'Jaren Jackson Jr.', 'Santi Aldama', 'Desmond Bane', 'John Konchar']","['Jake LaRavia', 'DeJon Jarreau', 'Trey Jemison', 'Luke Kennard', 'Lamar Stevens', 'Vince Williams Jr.', 'Ziaire Williams']"
607,68,20240320,TOR,W,123,89,40,28,2,SAC,2024,False,94.8,0.581,13.7,47.4,0.161,129.8,94.8,0.475,20.0,23.9,0.163,93.9,"['Keegan Murray', ""De'Aaron Fox"", 'Domantas Sabonis', 'Keon Ellis', 'Harrison Barnes']","['Davion Mitchell', 'Malik Monk', 'Chris Duarte', 'Alex Len', 'Kessler Edwards', 'Jalen Slawson', 'Colby Jones', 'JaVale McGee']","['Gary Trent Jr.', 'Gradey Dick', 'Ochai Agbaji', 'Kelly Olynyk', 'Bruce Brown']","[""Jahmi'us Ramsey"", 'Javon Freeman-Liberty', 'Jordan Nwora', 'Jalen McDaniels', 'Mouhamadou Gueye', 'Jontay Porter', 'Garrett Temple']"
608,69,20240321,WAS,L,102,109,40,29,-1,SAC,2024,False,97.3,0.494,13.7,22.2,0.198,104.8,97.8,0.568,18.0,27.0,0.21,111.5,"['Domantas Sabonis', ""De'Aaron Fox"", 'Keegan Murray', 'Harrison Barnes', 'Keon Ellis']","['Malik Monk', 'Davion Mitchell', 'Chris Duarte', 'Kessler Edwards', 'Alex Len', 'Colby Jones', 'JaVale McGee', 'Jalen Slawson']","['Corey Kispert', 'Kyle Kuzma', 'Jordan Poole', 'Deni Avdija', 'Richaun Holmes']","['Jared Butler', 'Anthony Gill', 'Johnny Davis', 'Patrick Baldwin Jr.', 'Justin Champagnie', 'Jules Bernard']"
609,72,20240326,DAL,L,96,132,42,30,-1,SAC,2024,False,100.0,0.45,12.5,20.0,0.167,96.0,99.5,0.674,8.4,13.9,0.087,132.7,"['Keegan Murray', ""De'Aaron Fox"", 'Domantas Sabonis', 'Keon Ellis', 'Harrison Barnes']","['Malik Monk', 'Davion Mitchell', 'Chris Duarte', 'Alex Len', 'Mason Jones', 'Colby Jones', 'Kessler Edwards', 'JaVale McGee', 'Jalen Slawson']","['Kyrie Irving', 'P.J. Washington', 'Luka Dončić', 'Daniel Gafford', 'Derrick Jones Jr.']","['Tim Hardaway Jr.', 'Dante Exum', 'Dereck Lively II', 'Maxi Kleber', 'A.J. Lawson', 'Jaden Hardy', 'Dwight Powell', 'Markieff Morris', 'Josh Green']"
610,73,20240329,DAL,L,103,107,42,31,-2,SAC,2024,False,93.4,0.516,10.2,21.7,0.087,110.3,92.9,0.574,10.2,14.6,0.297,115.2,"[""De'Aaron Fox"", 'Harrison Barnes', 'Keon Ellis', 'Domantas Sabonis', 'Keegan Murray']","['Davion Mitchell', 'Alex Len', 'Kessler Edwards', 'Chris Duarte', 'Malik Monk', 'Colby Jones', 'JaVale McGee']","['Luka Dončić', 'Kyrie Irving', 'P.J. Washington', 'Daniel Gafford', 'Derrick Jones Jr.']","['Dereck Lively II', 'Dante Exum', 'Tim Hardaway Jr.', 'Maxi Kleber', 'Jaden Hardy', 'A.J. Lawson', 'Markieff Morris', 'Dwight Powell']"
611,74,20240331,UTA,W,127,106,43,31,1,SAC,2024,False,92.6,0.655,13.7,37.1,0.202,137.2,92.6,0.506,11.2,26.2,0.265,114.5,"[""De'Aaron Fox"", 'Keegan Murray', 'Domantas Sabonis', 'Harrison Barnes', 'Keon Ellis']","['Davion Mitchell', 'Trey Lyles', 'Alex Len', 'Kessler Edwards', 'Sasha Vezenkov', 'Chris Duarte', 'Colby Jones', 'Mason Jones', 'JaVale McGee']","['Keyonte George', 'Brice Sensabaugh', 'Walker Kessler', 'Collin Sexton', 'Taylor Hendricks']","['Kris Dunn', 'Johnny Juzang', 'Micah Potter', 'Omer Yurtseven', 'Talen Horton-Tucker', 'Kira Lewis Jr.', 'Luka Šamanić']"
612,75,20240402,LAC,W,109,95,44,31,2,SAC,2024,False,90.5,0.489,8.8,40.8,0.207,120.4,91.0,0.48,15.4,20.0,0.289,104.4,"['Keegan Murray', 'Domantas Sabonis', ""De'Aaron Fox"", 'Harrison Barnes', 'Keon Ellis']","['Trey Lyles', 'Davion Mitchell', 'Alex Len', 'Sasha Vezenkov', 'Chris Duarte', 'Kessler Edwards', 'Mason Jones', 'Colby Jones', 'Jalen Slawson', 'JaVale McGee']","['James Harden', 'Paul George', 'Ivica Zubac', 'Norman Powell', 'Terance Mann']","['Russell Westbrook', 'Amir Coffey', 'Brandon Boston Jr.', 'Daniel Theis', 'Bones Hyland', 'Kobe Brown', 'Xavier Moon', 'Mason Plumlee', 'P.J. Tucker']"
613,77,20240405,BOS,L,100,101,44,33,-2,SAC,2024,False,91.7,0.47,6.3,27.8,0.071,109.0,92.2,0.494,7.6,23.5,0.146,109.5,"[""De'Aaron Fox"", 'Keegan Murray', 'Domantas Sabonis', 'Harrison Barnes', 'Keon Ellis']","['Davion Mitchell', 'Trey Lyles', 'Sasha Vezenkov', 'Kessler Edwards', 'Colby Jones', 'Alex Len', 'Chris Duarte', 'JaVale McGee']","['Sam Hauser', 'Jayson Tatum', 'Jrue Holiday', 'Kristaps Porziņģis', 'Al Horford']","['Payton Pritchard', 'Xavier Tillman Sr.', 'Luke Kornet', 'Svi Mykhailiuk', 'Oshae Brissett', 'Jordan Walsh', 'Drew Peterson']"
614,78,20240407,BRK,W,107,77,45,33,1,SAC,2024,False,97.7,0.505,8.2,22.0,0.128,109.5,98.2,0.39,15.6,14.0,0.116,78.4,"['Keegan Murray', 'Domantas Sabonis', ""De'Aaron Fox"", 'Keon Ellis', 'Harrison Barnes']","['Trey Lyles', 'Davion Mitchell', 'Colby Jones', 'Alex Len', 'Kessler Edwards', 'Chris Duarte', 'JaVale McGee', 'Sasha Vezenkov']","['Cam Thomas', 'Noah Clowney', 'Jalen Wilson', 'Dennis Schröder', 'Mikal Bridges']","['Trendon Watford', 'Lonnie Walker IV', ""Day'Ron Sharpe"", 'Nic Claxton', 'Dorian Finney-Smith', 'Cameron Johnson', 'Dennis Smith Jr.']"
615,83,20240416,GSW,W,118,94,47,36,2,SAC,2024,False,94.8,0.531,7.1,30.6,0.143,124.5,94.8,0.475,15.1,19.0,0.225,99.2,"['Keon Ellis', 'Keegan Murray', ""De'Aaron Fox"", 'Domantas Sabonis', 'Harrison Barnes']","['Trey Lyles', 'Davion Mitchell', 'Alex Len', 'JaVale McGee', 'Kessler Edwards', 'Colby Jones', 'Sasha Vezenkov', 'Chris Duarte']","['Stephen Curry', 'Draymond Green', 'Klay Thompson', 'Andrew Wiggins', 'Trayce Jackson-Davis']","['Jonathan Kuminga', 'Brandin Podziemski', 'Chris Paul', 'Moses Moody', 'Kevon Looney', 'Lester Quinones', 'Usman Garuba', 'Gui Santos', 'Dario Šarić']"
616,1,20231025,DAL,L,119,126,0,1,-1,SAS,2024,False,106.4,0.579,16.1,20.5,0.18,111.8,106.4,0.551,9.9,26.5,0.172,118.4,"['Devin Vassell', 'Zach Collins', 'Keldon Johnson', 'Jeremy Sochan', 'Victor Wembanyama']","['Tre Jones', 'Cedi Osman', 'Malaki Branham', 'Charles Bassey', 'Doug McDermott', 'Dominick Barlow', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Kyrie Irving', 'Grant Williams', 'Luka Dončić', 'Maxi Kleber', 'Derrick Jones Jr.']","['Dereck Lively II', 'Josh Green', 'Tim Hardaway Jr.', 'Dante Exum', 'Seth Curry', 'Jaden Hardy', 'Richaun Holmes', 'Markieff Morris', 'Dwight Powell', 'Olivier-Maxence Prosper']"
617,2,20231027,HOU,W,126,122,1,1,1,SAS,2024,False,100.4,0.559,14.5,27.3,0.223,113.6,100.4,0.56,14.2,26.2,0.1,110.0,"['Devin Vassell', 'Zach Collins', 'Keldon Johnson', 'Victor Wembanyama', 'Jeremy Sochan']","['Tre Jones', 'Cedi Osman', 'Doug McDermott', 'Malaki Branham', 'Charles Bassey', 'Dominick Barlow', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Fred VanVleet', 'Alperen Sengun', 'Dillon Brooks', 'Jalen Green', 'Jabari Smith Jr.']","['Jeff Green', ""Jae'Sean Tate"", 'Amen Thompson', 'Reggie Bullock', 'Boban Marjanović', 'Aaron Holiday', 'Jermaine Samuels', 'Cam Whitmore', 'Jeenathan Williams']"
618,3,20231029,LAC,L,83,123,1,2,-1,SAS,2024,False,104.5,0.444,22.3,13.3,0.15,79.4,104.5,0.604,13.8,22.5,0.143,117.7,"['Devin Vassell', 'Victor Wembanyama', 'Zach Collins', 'Keldon Johnson', 'Jeremy Sochan']","['Malaki Branham', 'Tre Jones', 'Cedi Osman', 'Charles Bassey', 'Doug McDermott', 'Julian Champagnie', 'Blake Wesley', 'Sandro Mamukelashvili', 'Dominick Barlow', ""Devonte' Graham""]","['Kawhi Leonard', 'Paul George', 'Russell Westbrook', 'Robert Covington', 'Ivica Zubac']","['Bones Hyland', 'Mason Plumlee', 'Norman Powell', 'KJ Martin', 'Nicolas Batum', 'Amir Coffey', 'Kobe Brown', 'Moussa Diabaté', 'Jordan Miller']"
619,6,20231105,TOR,L,116,123,3,3,-1,SAS,2024,False,97.0,0.552,14.3,20.9,0.104,108.4,97.4,0.552,12.2,26.0,0.165,114.4,"['Zach Collins', 'Victor Wembanyama', 'Keldon Johnson', 'Jeremy Sochan', 'Malaki Branham']","['Tre Jones', 'Cedi Osman', 'Doug McDermott', 'Charles Bassey', 'Julian Champagnie', 'Dominick Barlow', 'Sidy Cissoko', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Scottie Barnes', 'Dennis Schröder', 'OG Anunoby', 'Pascal Siakam', 'Jakob Poeltl']","['Gary Trent Jr.', 'Otto Porter Jr.', 'Malachi Flynn', 'Gradey Dick', 'Jalen McDaniels', 'Chris Boucher', 'Garrett Temple', 'Thaddeus Young']"
620,7,20231106,IND,L,111,152,3,4,-2,SAS,2024,False,105.1,0.468,9.3,23.1,0.245,105.6,105.6,0.684,12.5,27.3,0.232,143.9,"['Malaki Branham', 'Keldon Johnson', 'Victor Wembanyama', 'Jeremy Sochan', 'Zach Collins']","['Doug McDermott', 'Tre Jones', 'Cedi Osman', 'Charles Bassey', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Dominick Barlow', 'Blake Wesley']","['Obi Toppin', 'Tyrese Haliburton', 'Bruce Brown', 'Bennedict Mathurin', 'Myles Turner']","['Buddy Hield', 'Aaron Nesmith', 'Andrew Nembhard', 'Isaiah Jackson', 'Ben Sheppard', 'Jalen Smith', 'Jordan Nwora', 'T.J. McConnell', 'Jarace Walker', 'Daniel Theis']"
621,9,20231110,MIN,L,110,117,3,6,-4,SAS,2024,False,103.7,0.533,12.2,15.6,0.13,106.1,103.7,0.552,15.4,29.5,0.241,112.9,"['Victor Wembanyama', 'Devin Vassell', 'Keldon Johnson', 'Jeremy Sochan', 'Zach Collins']","['Tre Jones', 'Malaki Branham', 'Cedi Osman', 'Doug McDermott', 'Charles Bassey', 'Dominick Barlow', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Anthony Edwards', 'Karl-Anthony Towns', 'Rudy Gobert', 'Mike Conley', 'Jaden McDaniels']","['Kyle Anderson', 'Nickeil Alexander-Walker', 'Naz Reid', 'Shake Milton', 'Troy Brown Jr.', 'Josh Minott', 'Daishen Nix']"
622,10,20231112,MIA,L,113,118,3,7,-5,SAS,2024,False,96.0,0.566,15.0,26.8,0.11,117.7,97.5,0.506,6.4,22.0,0.315,121.0,"['Keldon Johnson', 'Victor Wembanyama', 'Jeremy Sochan', 'Zach Collins', 'Devin Vassell']","['Doug McDermott', 'Malaki Branham', 'Cedi Osman', 'Charles Bassey', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Duncan Robinson', 'Jimmy Butler', 'Bam Adebayo', 'Haywood Highsmith', 'Josh Richardson']","['Jaime Jaquez Jr.', 'Dru Smith', 'Kevin Love', 'Thomas Bryant', 'Nikola Jović', 'Orlando Robinson', 'Cole Swider']"
623,13,20231118,MEM,L,108,120,3,10,-8,SAS,2024,False,96.3,0.524,13.7,26.7,0.253,112.1,97.3,0.529,12.1,30.0,0.337,123.3,"['Keldon Johnson', 'Jeremy Sochan', 'Victor Wembanyama', 'Zach Collins', 'Julian Champagnie']","['Cedi Osman', 'Tre Jones', 'Malaki Branham', 'Doug McDermott', 'Sandro Mamukelashvili', 'Charles Bassey', 'Dominick Barlow', 'Sidy Cissoko', ""Devonte' Graham"", 'Blake Wesley']","['Desmond Bane', 'Bismack Biyombo', 'Jaren Jackson Jr.', 'John Konchar', 'Jacob Gilyard']","['Santi Aldama', 'David Roddy', 'Ziaire Williams', 'Derrick Rose', 'Kenneth Lofton Jr.', 'Jake LaRavia', 'Vince Williams Jr.']"
624,14,20231120,LAC,L,99,124,3,11,-9,SAS,2024,False,99.4,0.489,14.3,24.1,0.122,99.6,99.4,0.537,6.2,21.7,0.232,124.7,"['Keldon Johnson', 'Jeremy Sochan', 'Zach Collins', 'Victor Wembanyama', 'Julian Champagnie']","['Tre Jones', 'Cedi Osman', 'Malaki Branham', 'Charles Bassey', 'Doug McDermott', 'Sidy Cissoko', 'Dominick Barlow', ""Devonte' Graham"", 'Sandro Mamukelashvili', ""Sir'Jabari Rice""]","['Paul George', 'Kawhi Leonard', 'James Harden', 'Terance Mann', 'Ivica Zubac']","['Norman Powell', 'Russell Westbrook', 'Daniel Theis', 'P.J. Tucker', 'Moussa Diabaté', 'Bones Hyland', 'Amir Coffey']"
625,15,20231122,LAC,L,102,109,3,12,-10,SAS,2024,False,101.3,0.445,12.2,20.4,0.231,100.7,100.8,0.512,14.1,24.4,0.259,108.2,"['Keldon Johnson', 'Victor Wembanyama', 'Jeremy Sochan', 'Zach Collins', 'Malaki Branham']","['Devin Vassell', 'Tre Jones', 'Cedi Osman', 'Doug McDermott', 'Dominick Barlow', 'Charles Bassey', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Paul George', 'Kawhi Leonard', 'James Harden', 'Ivica Zubac', 'Terance Mann']","['Russell Westbrook', 'Daniel Theis', 'Norman Powell', 'P.J. Tucker', 'Amir Coffey', 'Kobe Brown', 'Moussa Diabaté', 'Bones Hyland']"
626,16,20231124,GSW,L,112,118,3,13,-11,SAS,2024,False,106.7,0.51,16.0,30.6,0.1,105.0,106.2,0.611,20.8,18.4,0.235,111.2,"['Victor Wembanyama', 'Keldon Johnson', 'Jeremy Sochan', 'Zach Collins', 'Malaki Branham']","['Devin Vassell', 'Doug McDermott', 'Cedi Osman', 'Tre Jones', 'Charles Bassey', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Stephen Curry', 'Klay Thompson', 'Andrew Wiggins', 'Kevon Looney', 'Moses Moody']","['Chris Paul', 'Dario Šarić', 'Jonathan Kuminga', 'Gary Payton II', 'Brandin Podziemski', 'Trayce Jackson-Davis', 'Draymond Green', 'Cory Joseph', 'Gui Santos']"
627,17,20231126,DEN,L,120,132,3,14,-12,SAS,2024,False,105.6,0.527,12.6,22.7,0.237,113.6,106.1,0.629,16.7,30.6,0.225,124.4,"['Keldon Johnson', 'Victor Wembanyama', 'Malaki Branham', 'Zach Collins', 'Jeremy Sochan']","['Devin Vassell', 'Tre Jones', 'Julian Champagnie', 'Cedi Osman', 'Charles Bassey', 'Doug McDermott', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Nikola Jokić', 'Michael Porter Jr.', 'Kentavious Caldwell-Pope', 'Reggie Jackson', 'Justin Holiday']","['Christian Braun', 'Peyton Watson', 'Julian Strawther', 'DeAndre Jordan', 'Jay Huff', 'Collin Gillespie', 'Braxton Key', 'Jalen Pickett', 'Hunter Tyson', 'Zeke Nnaji']"
628,18,20231130,ATL,L,135,137,3,15,-13,SAS,2024,False,107.8,0.64,17.5,27.5,0.236,125.2,107.8,0.583,8.4,18.2,0.26,127.1,"['Jeremy Sochan', 'Zach Collins', 'Keldon Johnson', 'Victor Wembanyama', 'Malaki Branham']","['Devin Vassell', 'Tre Jones', 'Julian Champagnie', 'Cedi Osman', 'Charles Bassey', 'Dominick Barlow', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Doug McDermott', 'Blake Wesley']","['Trae Young', 'Dejounte Murray', 'Saddiq Bey', 'Clint Capela', ""De'Andre Hunter""]","['Bogdan Bogdanović', 'Onyeka Okongwu', 'Wesley Matthews', 'Garrison Mathews', 'Bruno Fernando', 'Trent Forrest', 'AJ Griffin', 'Patty Mills']"
629,20,20231206,MIN,L,94,102,3,17,-15,SAS,2024,False,100.1,0.416,10.0,22.8,0.099,93.9,99.6,0.483,12.7,23.4,0.207,102.4,"['Victor Wembanyama', 'Cedi Osman', 'Keldon Johnson', 'Devin Vassell', 'Zach Collins']","['Tre Jones', 'Doug McDermott', 'Jeremy Sochan', 'Malaki Branham', 'Julian Champagnie', 'Charles Bassey', ""Devonte' Graham"", 'Sandro Mamukelashvili']","['Anthony Edwards', 'Mike Conley', 'Karl-Anthony Towns', 'Rudy Gobert', 'Nickeil Alexander-Walker']","['Naz Reid', 'Troy Brown Jr.', 'Kyle Anderson', 'Shake Milton', 'Josh Minott', 'Wendell Moore Jr.', 'Daishen Nix']"
630,21,20231208,CHI,L,112,121,3,18,-16,SAS,2024,False,93.5,0.572,12.4,23.8,0.205,119.8,93.5,0.525,6.6,41.4,0.137,129.4,"['Keldon Johnson', 'Jeremy Sochan', 'Devin Vassell', 'Victor Wembanyama', 'Malaki Branham']","['Tre Jones', 'Zach Collins', 'Doug McDermott', 'Cedi Osman', 'Julian Champagnie', 'Dominick Barlow', 'Charles Bassey', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Coby White', 'DeMar DeRozan', 'Nikola Vučević', 'Patrick Williams', 'Alex Caruso']","['Ayo Dosunmu', 'Torrey Craig', 'Andre Drummond', 'Jevon Carter', 'Julian Phillips', 'Terry Taylor', 'Dalen Terry']"
631,22,20231211,HOU,L,82,93,3,19,-17,SAS,2024,False,101.3,0.385,15.0,16.7,0.172,80.9,101.3,0.409,13.6,26.3,0.183,91.8,"['Keldon Johnson', 'Jeremy Sochan', 'Malaki Branham', 'Victor Wembanyama', 'Devin Vassell']","['Tre Jones', 'Doug McDermott', 'Zach Collins', 'Cedi Osman', 'Julian Champagnie', 'Sandro Mamukelashvili', ""Devonte' Graham"", 'Blake Wesley']","['Fred VanVleet', 'Jabari Smith Jr.', 'Alperen Sengun', 'Dillon Brooks', 'Jalen Green']","['Tari Eason', 'Jeff Green', 'Aaron Holiday', 'Amen Thompson', ""Jae'Sean Tate"", 'Jock Landale', 'Boban Marjanović', 'Jeenathan Williams']"
632,23,20231213,LAL,L,119,122,3,20,-18,SAS,2024,False,108.9,0.552,14.1,19.6,0.135,109.3,108.9,0.615,14.0,12.2,0.11,112.0,"['Keldon Johnson', 'Devin Vassell', 'Victor Wembanyama', 'Jeremy Sochan', 'Malaki Branham']","['Tre Jones', 'Zach Collins', 'Cedi Osman', 'Doug McDermott', 'Julian Champagnie', ""Devonte' Graham"", 'Sandro Mamukelashvili', 'Blake Wesley']","['Anthony Davis', ""D'Angelo Russell"", 'Taurean Prince', 'Cam Reddish', 'Rui Hachimura']","['Austin Reaves', 'Christian Wood', 'Jarred Vanderbilt', 'Max Christie', 'Jaxson Hayes', 'Colin Castleton', ""D'Moi Hodge"", 'LeBron James']"
633,24,20231215,LAL,W,129,115,4,20,1,SAS,2024,False,98.6,0.589,8.0,20.9,0.179,130.8,98.1,0.545,5.6,20.0,0.202,117.2,"['Devin Vassell', 'Malaki Branham', 'Victor Wembanyama', 'Keldon Johnson', 'Jeremy Sochan']","['Cedi Osman', 'Zach Collins', 'Doug McDermott', ""Devonte' Graham"", 'Julian Champagnie', 'Sandro Mamukelashvili', 'Blake Wesley', 'Tre Jones']","['Taurean Prince', 'LeBron James', 'Austin Reaves', 'Max Christie', 'Jaxson Hayes']","['Rui Hachimura', 'Christian Wood', 'Jarred Vanderbilt', ""D'Moi Hodge"", 'Colin Castleton', 'Anthony Davis', 'Cam Reddish', ""D'Angelo Russell""]"
634,26,20231219,MIL,L,119,132,4,22,-2,SAS,2024,False,108.9,0.526,13.2,18.2,0.188,109.2,109.4,0.557,5.8,20.0,0.132,120.6,"['Keldon Johnson', 'Devin Vassell', 'Jeremy Sochan', 'Zach Collins', 'Malaki Branham']","['Tre Jones', 'Cedi Osman', 'Sandro Mamukelashvili', 'Doug McDermott', 'Dominick Barlow', 'Julian Champagnie', ""Devonte' Graham""]","['Damian Lillard', 'Giannis Antetokounmpo', 'Brook Lopez', 'Khris Middleton', 'Malik Beasley']","['Bobby Portis', 'Pat Connaughton', 'Andre Jackson Jr.', 'Cameron Payne', 'MarJon Beauchamp', 'Robin Lopez', 'A.J. Green', 'Thanasis Antetokounmpo']"
635,27,20231221,CHI,L,95,114,4,23,-3,SAS,2024,False,97.6,0.519,17.8,22.5,0.136,97.3,98.1,0.583,11.2,13.5,0.1,116.2,"['Jeremy Sochan', 'Keldon Johnson', 'Devin Vassell', 'Malaki Branham', 'Victor Wembanyama']","['Zach Collins', 'Tre Jones', 'Doug McDermott', 'Cedi Osman', 'Julian Champagnie', 'Blake Wesley', 'Sidy Cissoko', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Coby White', 'DeMar DeRozan', 'Patrick Williams', 'Nikola Vučević', 'Alex Caruso']","['Ayo Dosunmu', 'Jevon Carter', 'Andre Drummond', 'Dalen Terry', 'Julian Phillips', 'Terry Taylor', 'Torrey Craig']"
