G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Year
13,Sat Nov 12 2022,8:00p,,Box Score,,Charlotte Hornets,W,,132,115,6,7,W 2,19600.0,2:09,,MIA,2023
14,Mon Nov 14 2022,7:30p,,Box Score,,Phoenix Suns,W,,113,112,7,7,W 3,19600.0,2:09,,MIA,2023
15,Wed Nov 16 2022,7:30p,,Box Score,@,Toronto Raptors,L,,104,112,7,8,L 1,19800.0,2:16,,MIA,2023
16,Fri Nov 18 2022,7:00p,,Box Score,@,Washington Wizards,L,OT,106,107,7,9,L 2,18772.0,2:31,,MIA,2023
17,Sun Nov 20 2022,7:00p,,Box Score,@,Cleveland Cavaliers,L,,87,113,7,10,L 3,19432.0,2:06,,MIA,2023
18,Mon Nov 21 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,101,105,7,11,L 4,16583.0,2:21,,MIA,2023
19,Wed Nov 23 2022,7:30p,,Box Score,,Washington Wizards,W,,113,105,8,11,W 1,19600.0,2:15,,MIA,2023
20,Fri Nov 25 2022,8:00p,,Box Score,,Washington Wizards,W,,110,107,9,11,W 2,19600.0,2:19,,MIA,2023
21,Sun Nov 27 2022,5:00p,,Box Score,@,Atlanta Hawks,W,,106,98,10,11,W 3,17268.0,2:06,,MIA,2023
22,Wed Nov 30 2022,7:30p,,Box Score,@,Boston Celtics,L,,121,134,10,12,L 1,19156.0,2:01,,MIA,2023
23,Fri Dec 2 2022,7:30p,,Box Score,@,Boston Celtics,W,OT,120,116,11,12,W 1,19156.0,2:33,,MIA,2023
24,Mon Dec 5 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,93,101,11,13,L 1,16122.0,2:07,,MIA,2023
25,Tue Dec 6 2022,7:30p,,Box Score,,Detroit Pistons,L,,96,116,11,14,L 2,19600.0,2:09,,MIA,2023
26,Thu Dec 8 2022,7:30p,,Box Score,,Los Angeles Clippers,W,,115,110,12,14,W 1,19600.0,2:09,,MIA,2023
27,Sat Dec 10 2022,5:00p,,Box Score,,San Antonio Spurs,L,,111,115,12,15,L 1,19600.0,2:20,,MIA,2023
28,Mon Dec 12 2022,7:00p,,Box Score,@,Indiana Pacers,W,,87,82,13,15,W 1,15309.0,2:11,,MIA,2023
29,Wed Dec 14 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,110,108,14,15,W 2,14783.0,2:09,,MIA,2023
30,Thu Dec 15 2022,8:00p,,Box Score,@,Houston Rockets,W,,111,108,15,15,W 3,16210.0,2:14,,MIA,2023
31,Sat Dec 17 2022,5:00p,,Box Score,@,San Antonio Spurs,W,,111,101,16,15,W 4,20160.0,2:33,,MIA,2023
32,Tue Dec 20 2022,7:30p,,Box Score,,Chicago Bulls,L,,103,113,16,16,L 1,19969.0,2:04,,MIA,2023
33,Fri Dec 23 2022,8:00p,,Box Score,,Indiana Pacers,L,,108,111,16,17,L 2,19600.0,2:13,,MIA,2023
34,Mon Dec 26 2022,7:30p,,Box Score,,Minnesota Timberwolves,W,,113,110,17,17,W 1,19911.0,2:11,,MIA,2023
35,Wed Dec 28 2022,7:30p,,Box Score,,Los Angeles Lakers,W,,112,98,18,17,W 2,20221.0,2:07,,MIA,2023
36,Fri Dec 30 2022,9:00p,,Box Score,@,Denver Nuggets,L,,119,124,18,18,L 1,19638.0,2:16,,MIA,2023
37,Sat Dec 31 2022,9:00p,,Box Score,@,Utah Jazz,W,,126,123,19,18,W 1,18206.0,2:26,,MIA,2023
38,Mon Jan 2 2023,10:30p,,Box Score,@,Los Angeles Clippers,W,,110,100,20,18,W 2,19068.0,2:15,,MIA,2023
39,Wed Jan 4 2023,10:00p,,Box Score,@,Los Angeles Lakers,L,,109,112,20,19,L 1,18997.0,2:27,,MIA,2023
40,Fri Jan 6 2023,10:00p,,Box Score,@,Phoenix Suns,W,,104,96,21,19,W 1,17071.0,2:27,,MIA,2023
41,Sun Jan 8 2023,6:00p,,Box Score,,Brooklyn Nets,L,,101,102,21,20,L 1,19901.0,2:13,,MIA,2023
42,Tue Jan 10 2023,7:30p,,Box Score,,Oklahoma City Thunder,W,,112,111,22,20,W 1,19600.0,2:32,,MIA,2023
43,Thu Jan 12 2023,7:30p,,Box Score,,Milwaukee Bucks,W,,108,102,23,20,W 2,19600.0,2:00,,MIA,2023
44,Sat Jan 14 2023,1:00p,,Box Score,,Milwaukee Bucks,W,,111,95,24,20,W 3,19620.0,2:03,,MIA,2023
45,Mon Jan 16 2023,3:30p,,Box Score,@,Atlanta Hawks,L,,113,121,24,21,L 1,18007.0,2:23,,MIA,2023
46,Wed Jan 18 2023,8:00p,,Box Score,@,New Orleans Pelicans,W,,124,98,25,21,W 1,17736.0,2:05,,MIA,2023
47,Fri Jan 20 2023,7:30p,,Box Score,@,Dallas Mavericks,L,,90,115,25,22,L 1,20326.0,2:15,,MIA,2023
48,Sun Jan 22 2023,3:30p,,Box Score,,New Orleans Pelicans,W,,100,96,26,22,W 1,19600.0,2:17,,MIA,2023
49,Tue Jan 24 2023,7:30p,,Box Score,,Boston Celtics,W,,98,95,27,22,W 2,19705.0,2:21,,MIA,2023
50,Fri Jan 27 2023,8:00p,,Box Score,,Orlando Magic,W,,110,105,28,22,W 3,19788.0,2:19,,MIA,2023
51,Sun Jan 29 2023,1:00p,,Box Score,@,Charlotte Hornets,L,,117,122,28,23,L 1,19254.0,2:15,,MIA,2023
52,Tue Jan 31 2023,7:00p,,Box Score,@,Cleveland Cavaliers,W,,100,97,29,23,W 1,19432.0,2:12,,MIA,2023
53,Thu Feb 2 2023,7:30p,,Box Score,@,New York Knicks,L,,104,106,29,24,L 1,19044.0,2:20,,MIA,2023
54,Sat Feb 4 2023,8:00p,,Box Score,@,Milwaukee Bucks,L,,115,123,29,25,L 2,18008.0,2:08,,MIA,2023
55,Wed Feb 8 2023,7:30p,,Box Score,,Indiana Pacers,W,,116,111,30,25,W 1,19600.0,2:29,,MIA,2023
56,Fri Feb 10 2023,8:00p,,Box Score,,Houston Rockets,W,,97,95,31,25,W 2,19600.0,2:20,,MIA,2023
57,Sat Feb 11 2023,7:00p,,Box Score,@,Orlando Magic,W,OT,107,103,32,25,W 3,18223.0,2:42,,MIA,2023
58,Mon Feb 13 2023,7:30p,,Box Score,,Denver Nuggets,L,,108,112,32,26,L 1,19755.0,2:10,,MIA,2023
59,Wed Feb 15 2023,7:30p,,Box Score,@,Brooklyn Nets,L,,105,116,32,27,L 2,17963.0,2:07,,MIA,2023
60,Fri Feb 24 2023,7:30p,,Box Score,@,Milwaukee Bucks,L,,99,128,32,28,L 3,17676.0,2:10,,MIA,2023
61,Sat Feb 25 2023,7:00p,,Box Score,@,Charlotte Hornets,L,,103,108,32,29,L 4,19109.0,2:19,,MIA,2023
62,Mon Feb 27 2023,7:00p,,Box Score,@,Philadelphia 76ers,W,,101,99,33,29,W 1,20859.0,2:15,,MIA,2023
63,Wed Mar 1 2023,7:30p,,Box Score,,Philadelphia 76ers,L,,96,119,33,30,L 1,19600.0,2:09,,MIA,2023
64,Fri Mar 3 2023,8:00p,,Box Score,,New York Knicks,L,,120,122,33,31,L 2,19600.0,2:21,,MIA,2023
65,Sat Mar 4 2023,8:00p,,Box Score,,Atlanta Hawks,W,,117,109,34,31,W 1,19600.0,2:11,,MIA,2023
66,Mon Mar 6 2023,7:30p,,Box Score,,Atlanta Hawks,W,,130,128,35,31,W 2,19600.0,2:20,,MIA,2023
67,Wed Mar 8 2023,7:30p,,Box Score,,Cleveland Cavaliers,L,,100,104,35,32,L 1,19600.0,2:28,,MIA,2023
68,Fri Mar 10 2023,8:00p,,Box Score,,Cleveland Cavaliers,W,,119,115,36,32,W 1,19757.0,2:21,,MIA,2023
69,Sat Mar 11 2023,7:00p,,Box Score,@,Orlando Magic,L,OT,114,126,36,33,L 1,17347.0,2:30,,MIA,2023
70,Mon Mar 13 2023,7:30p,,Box Score,,Utah Jazz,W,,119,115,37,33,W 1,19721.0,2:14,,MIA,2023
71,Wed Mar 15 2023,7:30p,,Box Score,,Memphis Grizzlies,W,,138,119,38,33,W 2,19794.0,2:13,,MIA,2023
72,Sat Mar 18 2023,8:00p,,Box Score,@,Chicago Bulls,L,,99,113,38,34,L 1,20094.0,2:05,,MIA,2023
73,Sun Mar 19 2023,6:00p,,Box Score,@,Detroit Pistons,W,,112,100,39,34,W 1,20190.0,2:13,,MIA,2023
74,Wed Mar 22 2023,7:30p,,Box Score,,New York Knicks,W,,127,120,40,34,W 2,19863.0,2:17,,MIA,2023
75,Sat Mar 25 2023,8:00p,,Box Score,,Brooklyn Nets,L,,100,129,40,35,L 1,19680.0,2:13,,MIA,2023
76,Tue Mar 28 2023,7:30p,,Box Score,@,Toronto Raptors,L,,92,106,40,36,L 2,19800.0,2:05,,MIA,2023
77,Wed Mar 29 2023,7:30p,,Box Score,@,New York Knicks,L,,92,101,40,37,L 3,19812.0,2:09,,MIA,2023
78,Sat Apr 1 2023,7:30p,,Box Score,,Dallas Mavericks,W,,129,122,41,37,W 1,20011.0,2:18,,MIA,2023
79,Tue Apr 4 2023,7:00p,,Box Score,@,Detroit Pistons,W,,118,105,42,37,W 2,18453.0,2:16,,MIA,2023
80,Thu Apr 6 2023,7:30p,,Box Score,@,Philadelphia 76ers,W,,129,101,43,37,W 3,21178.0,2:08,,MIA,2023
81,Fri Apr 7 2023,7:00p,,Box Score,@,Washington Wizards,L,,108,114,43,38,L 1,20476.0,2:14,,MIA,2023
82,Sun Apr 9 2023,1:00p,,Box Score,,Orlando Magic,W,,123,110,44,38,W 1,19894.0,2:11,,MIA,2023
83,Tue Apr 11 2023,7:30p,,Box Score,,Atlanta Hawks,L,,105,116,44,39,L 1,19662.0,2:21,Play-In Game,MIA,2023
84,Fri Apr 14 2023,7:00p,,Box Score,,Chicago Bulls,W,,102,91,45,39,W 1,19678.0,2:28,Play-In Game,MIA,2023
1,Thu Oct 21 2021,8:00p,,Box Score,,Milwaukee Bucks,W,,137,95,1,0,W 1,19600.0,2:21,,MIA,2022
2,Sat Oct 23 2021,7:00p,,Box Score,@,Indiana Pacers,L,OT,91,102,1,1,L 1,17147.0,2:32,,MIA,2022
3,Mon Oct 25 2021,7:30p,,Box Score,,Orlando Magic,W,,107,90,2,1,W 1,19600.0,2:12,,MIA,2022
4,Wed Oct 27 2021,7:30p,,Box Score,@,Brooklyn Nets,W,,106,93,3,1,W 2,17732.0,2:13,,MIA,2022
5,Fri Oct 29 2021,7:30p,,Box Score,,Charlotte Hornets,W,,114,99,4,1,W 3,19600.0,2:18,,MIA,2022
6,Sat Oct 30 2021,8:00p,,Box Score,@,Memphis Grizzlies,W,,129,103,5,1,W 4,15989.0,2:10,,MIA,2022
7,Tue Nov 2 2021,7:30p,,Box Score,@,Dallas Mavericks,W,,125,110,6,1,W 5,19255.0,2:21,,MIA,2022
8,Thu Nov 4 2021,7:30p,,Box Score,,Boston Celtics,L,,78,95,6,2,L 1,19600.0,2:13,,MIA,2022
9,Sat Nov 6 2021,7:30p,,Box Score,,Utah Jazz,W,,118,115,7,2,W 1,19600.0,2:16,,MIA,2022
10,Mon Nov 8 2021,9:00p,,Box Score,@,Denver Nuggets,L,,96,113,7,3,L 1,15577.0,2:26,,MIA,2022
11,Wed Nov 10 2021,10:00p,,Box Score,@,Los Angeles Lakers,L,OT,117,120,7,4,L 2,18997.0,2:45,,MIA,2022
12,Thu Nov 11 2021,10:30p,,Box Score,@,Los Angeles Clippers,L,,109,112,7,5,L 3,16150.0,2:12,,MIA,2022
13,Sat Nov 13 2021,5:00p,,Box Score,@,Utah Jazz,W,,111,105,8,5,W 1,18306.0,2:29,,MIA,2022
14,Mon Nov 15 2021,8:00p,,Box Score,@,Oklahoma City Thunder,W,,103,90,9,5,W 2,12330.0,2:05,,MIA,2022
15,Wed Nov 17 2021,7:30p,,Box Score,,New Orleans Pelicans,W,,113,98,10,5,W 3,19600.0,2:14,,MIA,2022
16,Thu Nov 18 2021,7:30p,,Box Score,,Washington Wizards,W,,112,97,11,5,W 4,19600.0,2:01,,MIA,2022
17,Sat Nov 20 2021,7:00p,,Box Score,@,Washington Wizards,L,,100,103,11,6,L 1,20476.0,2:21,,MIA,2022
18,Tue Nov 23 2021,7:00p,,Box Score,@,Detroit Pistons,W,,100,92,12,6,W 1,13123.0,2:14,,MIA,2022
19,Wed Nov 24 2021,8:00p,,Box Score,@,Minnesota Timberwolves,L,,101,113,12,7,L 1,17136.0,2:28,,MIA,2022
20,Sat Nov 27 2021,8:00p,,Box Score,@,Chicago Bulls,W,,107,104,13,7,W 1,21110.0,2:19,,MIA,2022
21,Mon Nov 29 2021,7:30p,,Box Score,,Denver Nuggets,L,,111,120,13,8,L 1,19600.0,2:04,,MIA,2022
22,Wed Dec 1 2021,7:30p,,Box Score,,Cleveland Cavaliers,L,,85,111,13,9,L 2,19600.0,2:04,,MIA,2022
23,Fri Dec 3 2021,7:00p,,Box Score,@,Indiana Pacers,W,,113,104,14,9,W 1,13854.0,2:21,,MIA,2022
24,Sat Dec 4 2021,8:00p,,Box Score,@,Milwaukee Bucks,L,,102,124,14,10,L 1,17341.0,2:19,,MIA,2022
25,Mon Dec 6 2021,7:30p,,Box Score,,Memphis Grizzlies,L,,90,105,14,11,L 2,19600.0,2:19,,MIA,2022
26,Wed Dec 8 2021,7:30p,,Box Score,,Milwaukee Bucks,W,,113,104,15,11,W 1,19600.0,2:21,,MIA,2022
27,Sat Dec 11 2021,8:00p,,Box Score,,Chicago Bulls,W,,118,92,16,11,W 2,19731.0,2:08,,MIA,2022
28,Mon Dec 13 2021,7:00p,,Box Score,@,Cleveland Cavaliers,L,,94,105,16,12,L 1,17401.0,2:08,,MIA,2022
29,Wed Dec 15 2021,7:00p,,Box Score,@,Philadelphia 76ers,W,,101,96,17,12,W 1,20389.0,2:13,,MIA,2022
30,Fri Dec 17 2021,7:00p,,Box Score,@,Orlando Magic,W,,115,105,18,12,W 2,14103.0,2:06,,MIA,2022
31,Sun Dec 19 2021,6:00p,,Box Score,@,Detroit Pistons,L,,90,100,18,13,L 1,15188.0,2:22,,MIA,2022
32,Tue Dec 21 2021,7:30p,,Box Score,,Indiana Pacers,W,,125,96,19,13,W 1,19600.0,2:15,,MIA,2022
33,Thu Dec 23 2021,7:30p,,Box Score,,Detroit Pistons,W,,115,112,20,13,W 2,19600.0,2:18,,MIA,2022
34,Sun Dec 26 2021,3:30p,,Box Score,,Orlando Magic,W,,93,83,21,13,W 3,19600.0,2:05,,MIA,2022
35,Tue Dec 28 2021,7:30p,,Box Score,,Washington Wizards,W,,119,112,22,13,W 4,19600.0,2:07,,MIA,2022
36,Fri Dec 31 2021,7:00p,,Box Score,@,Houston Rockets,W,,120,110,23,13,W 5,16197.0,2:16,,MIA,2022
37,Sun Jan 2 2022,6:00p,,Box Score,@,Sacramento Kings,L,,113,115,23,14,L 1,13699.0,2:08,,MIA,2022
38,Mon Jan 3 2022,10:00p,,Box Score,@,Golden State Warriors,L,,108,115,23,15,L 2,18064.0,2:12,,MIA,2022
39,Wed Jan 5 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,115,109,24,15,W 1,15773.0,2:29,,MIA,2022
40,Sat Jan 8 2022,9:00p,,Box Score,@,Phoenix Suns,W,,123,100,25,15,W 2,17071.0,2:11,,MIA,2022
41,Wed Jan 12 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,115,91,26,15,W 3,15355.0,2:07,,MIA,2022
42,Fri Jan 14 2022,8:00p,,Box Score,,Atlanta Hawks,W,,124,118,27,15,W 4,19600.0,2:26,,MIA,2022
43,Sat Jan 15 2022,8:00p,,Box Score,,Philadelphia 76ers,L,,98,109,27,16,L 1,19600.0,2:14,,MIA,2022
44,Mon Jan 17 2022,7:30p,,Box Score,,Toronto Raptors,W,,104,99,28,16,W 1,19600.0,2:18,,MIA,2022
45,Wed Jan 19 2022,7:30p,,Box Score,,Portland Trail Blazers,W,,104,92,29,16,W 2,19600.0,,,MIA,2022
46,Fri Jan 21 2022,7:30p,,Box Score,@,Atlanta Hawks,L,,108,110,29,17,L 1,16385.0,2:17,,MIA,2022
47,Sun Jan 23 2022,6:00p,,Box Score,,Los Angeles Lakers,W,,113,107,30,17,W 1,19973.0,2:30,,MIA,2022
48,Wed Jan 26 2022,7:30p,,Box Score,,New York Knicks,W,,110,96,31,17,W 2,19600.0,2:15,,MIA,2022
49,Fri Jan 28 2022,8:00p,,Box Score,,Los Angeles Clippers,W,,121,114,32,17,W 3,19600.0,2:22,,MIA,2022
50,Sat Jan 29 2022,8:00p,,Box Score,,Toronto Raptors,L,3OT,120,124,32,18,L 1,19600.0,3:00,,MIA,2022
51,Mon Jan 31 2022,7:30p,,Box Score,@,Boston Celtics,L,,92,122,32,19,L 2,19156.0,2:04,,MIA,2022
52,Tue Feb 1 2022,7:30p,,Box Score,@,Toronto Raptors,L,,106,110,32,20,L 3,,2:16,,MIA,2022
53,Thu Feb 3 2022,7:00p,,Box Score,@,San Antonio Spurs,W,,112,95,33,20,W 1,14971.0,2:09,,MIA,2022
54,Sat Feb 5 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,104,86,34,20,W 2,19420.0,2:00,,MIA,2022
55,Mon Feb 7 2022,7:00p,,Box Score,@,Washington Wizards,W,,121,100,35,20,W 3,14222.0,2:12,,MIA,2022
56,Thu Feb 10 2022,7:30p,,Box Score,@,New Orleans Pelicans,W,,112,97,36,20,W 4,16672.0,2:08,,MIA,2022
57,Sat Feb 12 2022,8:00p,,Box Score,,Brooklyn Nets,W,,115,111,37,20,W 5,19600.0,2:17,,MIA,2022
58,Tue Feb 15 2022,7:30p,,Box Score,,Dallas Mavericks,L,,99,107,37,21,L 1,19600.0,2:22,,MIA,2022
59,Thu Feb 17 2022,7:00p,,Box Score,@,Charlotte Hornets,W,2OT,111,107,38,21,W 1,17029.0,2:52,,MIA,2022
60,Fri Feb 25 2022,7:30p,,Box Score,@,New York Knicks,W,,115,100,39,21,W 2,19812.0,2:28,,MIA,2022
61,Sat Feb 26 2022,8:00p,,Box Score,,San Antonio Spurs,W,,133,129,40,21,W 3,19677.0,2:20,,MIA,2022
62,Mon Feb 28 2022,7:30p,,Box Score,,Chicago Bulls,W,,112,99,41,21,W 4,19683.0,2:10,,MIA,2022
63,Wed Mar 2 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,119,120,41,22,L 1,17341.0,2:15,,MIA,2022
64,Thu Mar 3 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,113,107,42,22,W 1,17732.0,2:22,,MIA,2022
65,Sat Mar 5 2022,8:00p,,Box Score,,Philadelphia 76ers,W,,99,82,43,22,W 2,19704.0,2:09,,MIA,2022
66,Mon Mar 7 2022,7:30p,,Box Score,,Houston Rockets,W,,123,106,44,22,W 3,19600.0,2:12,,MIA,2022
67,Wed Mar 9 2022,7:30p,,Box Score,,Phoenix Suns,L,,90,111,44,23,L 1,19600.0,2:05,,MIA,2022
68,Fri Mar 11 2022,8:00p,,Box Score,,Cleveland Cavaliers,W,,117,105,45,23,W 1,19600.0,2:16,,MIA,2022
69,Sat Mar 12 2022,8:00p,,Box Score,,Minnesota Timberwolves,L,,104,113,45,24,L 1,19600.0,2:18,,MIA,2022
70,Tue Mar 15 2022,7:30p,,Box Score,,Detroit Pistons,W,,105,98,46,24,W 1,19600.0,2:16,,MIA,2022
71,Fri Mar 18 2022,8:00p,,Box Score,,Oklahoma City Thunder,W,,120,108,47,24,W 2,19600.0,2:01,,MIA,2022
72,Mon Mar 21 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,106,113,47,25,L 1,21386.0,2:10,,MIA,2022
73,Wed Mar 23 2022,7:30p,,Box Score,,Golden State Warriors,L,,104,118,47,26,L 2,19600.0,2:19,,MIA,2022
74,Fri Mar 25 2022,8:00p,,Box Score,,New York Knicks,L,,103,111,47,27,L 3,19600.0,2:20,,MIA,2022
75,Sat Mar 26 2022,8:00p,,Box Score,,Brooklyn Nets,L,,95,110,47,28,L 4,19600.0,2:16,,MIA,2022
76,Mon Mar 28 2022,7:30p,,Box Score,,Sacramento Kings,W,,123,100,48,28,W 1,19600.0,1:56,,MIA,2022
77,Wed Mar 30 2022,7:30p,,Box Score,@,Boston Celtics,W,,106,98,49,28,W 2,19156.0,2:22,,MIA,2022
78,Sat Apr 2 2022,8:00p,,Box Score,@,Chicago Bulls,W,,127,109,50,28,W 3,21697.0,2:12,,MIA,2022
79,Sun Apr 3 2022,7:00p,,Box Score,@,Toronto Raptors,W,,114,109,51,28,W 4,19800.0,2:18,,MIA,2022
80,Tue Apr 5 2022,7:30p,,Box Score,,Charlotte Hornets,W,,144,115,52,28,W 5,19600.0,2:10,,MIA,2022
81,Fri Apr 8 2022,8:00p,,Box Score,,Atlanta Hawks,W,,113,109,53,28,W 6,19993.0,2:11,,MIA,2022
82,Sun Apr 10 2022,7:00p,,Box Score,@,Orlando Magic,L,,111,125,53,29,L 1,19253.0,1:56,,MIA,2022
1,Thu Oct 26 2023,7:30p,,Box Score,,Philadelphia 76ers,W,,118,117,1,0,W 1,17783.0,2:40,,MIL,2024
2,Sun Oct 29 2023,7:00p,,Box Score,,Atlanta Hawks,L,,110,127,1,1,L 1,17341.0,2:15,,MIL,2024
3,Mon Oct 30 2023,8:00p,,Box Score,,Miami Heat,W,,122,114,2,1,W 1,17341.0,2:24,,MIL,2024
4,Wed Nov 1 2023,7:00p,,Box Score,@,Toronto Raptors,L,,111,130,2,2,L 1,19800.0,2:19,,MIL,2024
5,Fri Nov 3 2023,7:30p,,Box Score,,New York Knicks,W,,110,105,3,2,W 1,17717.0,2:37,In-Season Tournament,MIL,2024
6,Mon Nov 6 2023,7:30p,,Box Score,@,Brooklyn Nets,W,,129,125,4,2,W 2,17935.0,2:20,,MIL,2024
7,Wed Nov 8 2023,8:00p,,Box Score,,Detroit Pistons,W,,120,118,5,2,W 3,17341.0,2:20,,MIL,2024
8,Thu Nov 9 2023,7:00p,,Box Score,@,Indiana Pacers,L,,124,126,5,3,L 1,14648.0,2:25,,MIL,2024
9,Sat Nov 11 2023,6:00p,,Box Score,@,Orlando Magic,L,,97,112,5,4,L 2,19354.0,2:25,,MIL,2024
10,Mon Nov 13 2023,8:00p,,Box Score,,Chicago Bulls,W,,118,109,6,4,W 1,17865.0,2:16,,MIL,2024
11,Wed Nov 15 2023,7:30p,,Box Score,@,Toronto Raptors,W,,128,112,7,4,W 2,19800.0,2:15,,MIL,2024
12,Fri Nov 17 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,130,99,8,4,W 3,19258.0,2:09,In-Season Tournament,MIL,2024
13,Sat Nov 18 2023,8:00p,,Box Score,,Dallas Mavericks,W,,132,125,9,4,W 4,18128.0,2:07,,MIL,2024
14,Mon Nov 20 2023,7:00p,,Box Score,@,Washington Wizards,W,,142,129,10,4,W 5,17746.0,2:05,,MIL,2024
15,Wed Nov 22 2023,7:30p,,Box Score,@,Boston Celtics,L,,116,119,10,5,L 1,19156.0,2:13,,MIL,2024
16,Fri Nov 24 2023,8:00p,,Box Score,,Washington Wizards,W,,131,128,11,5,W 1,17880.0,2:20,In-Season Tournament,MIL,2024
17,Sun Nov 26 2023,3:30p,,Box Score,,Portland Trail Blazers,W,,108,102,12,5,W 2,17602.0,2:29,,MIL,2024
18,Tue Nov 28 2023,7:30p,,Box Score,@,Miami Heat,W,,131,124,13,5,W 3,19691.0,2:31,In-Season Tournament,MIL,2024
19,Thu Nov 30 2023,8:00p,,Box Score,@,Chicago Bulls,L,OT,113,120,13,6,L 1,19838.0,2:36,,MIL,2024
20,Sat Dec 2 2023,8:00p,,Box Score,,Atlanta Hawks,W,,132,121,14,6,W 1,17866.0,2:04,,MIL,2024
21,Tue Dec 5 2023,7:30p,,Box Score,,New York Knicks,W,,146,122,15,6,W 2,17448.0,2:21,In-Season Tournament,MIL,2024
22,Thu Dec 7 2023,5:00p,,Box Score,,Indiana Pacers,L,,119,128,15,7,L 1,16837.0,2:27,In-Season Tournament,MIL,2024
23,Mon Dec 11 2023,8:00p,,Box Score,,Chicago Bulls,W,OT,133,129,16,7,W 1,17440.0,2:41,,MIL,2024
24,Wed Dec 13 2023,8:00p,,Box Score,,Indiana Pacers,W,,140,126,17,7,W 2,17431.0,2:48,,MIL,2024
25,Sat Dec 16 2023,6:00p,,Box Score,,Detroit Pistons,W,,146,114,18,7,W 3,17666.0,2:13,,MIL,2024
26,Sun Dec 17 2023,7:00p,,Box Score,,Houston Rockets,W,,128,119,19,7,W 4,17341.0,2:21,,MIL,2024
27,Tue Dec 19 2023,8:00p,,Box Score,,San Antonio Spurs,W,,132,119,20,7,W 5,17729.0,2:07,,MIL,2024
28,Thu Dec 21 2023,8:00p,,Box Score,,Orlando Magic,W,,118,114,21,7,W 6,17928.0,2:25,,MIL,2024
29,Sat Dec 23 2023,12:30p,,Box Score,@,New York Knicks,W,,130,111,22,7,W 7,19812.0,2:11,,MIL,2024
30,Mon Dec 25 2023,12:00p,,Box Score,@,New York Knicks,L,,122,129,22,8,L 1,19812.0,2:23,,MIL,2024
31,Wed Dec 27 2023,7:30p,,Box Score,@,Brooklyn Nets,W,,144,122,23,8,W 1,18199.0,2:16,,MIL,2024
32,Fri Dec 29 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,119,111,24,8,W 2,19432.0,2:16,,MIL,2024
33,Mon Jan 1 2024,8:00p,,Box Score,,Indiana Pacers,L,,113,122,24,9,L 1,17922.0,2:22,,MIL,2024
34,Wed Jan 3 2024,7:00p,,Box Score,@,Indiana Pacers,L,,130,142,24,10,L 2,17274.0,2:35,,MIL,2024
35,Thu Jan 4 2024,7:30p,,Box Score,@,San Antonio Spurs,W,,125,121,25,10,W 1,19082.0,2:16,,MIL,2024
36,Sat Jan 6 2024,8:00p,,Box Score,@,Houston Rockets,L,,108,112,25,11,L 1,18055.0,2:37,,MIL,2024
37,Mon Jan 8 2024,8:00p,,Box Score,,Utah Jazz,L,,116,132,25,12,L 2,17341.0,2:10,,MIL,2024
38,Thu Jan 11 2024,7:30p,,Box Score,,Boston Celtics,W,,135,102,26,12,W 1,17781.0,2:12,,MIL,2024
39,Sat Jan 13 2024,8:00p,,Box Score,,Golden State Warriors,W,,129,118,27,12,W 2,18009.0,2:08,,MIL,2024
40,Sun Jan 14 2024,7:00p,,Box Score,,Sacramento Kings,W,OT,143,142,28,12,W 3,17612.0,2:39,,MIL,2024
41,Wed Jan 17 2024,7:30p,,Box Score,@,Cleveland Cavaliers,L,,95,135,28,13,L 1,19432.0,2:02,,MIL,2024
42,Sat Jan 20 2024,3:00p,,Box Score,@,Detroit Pistons,W,,141,135,29,13,W 1,19996.0,2:27,,MIL,2024
43,Mon Jan 22 2024,7:00p,,Box Score,@,Detroit Pistons,W,,122,113,30,13,W 2,17201.0,2:19,,MIL,2024
44,Wed Jan 24 2024,8:00p,,Box Score,,Cleveland Cavaliers,W,,126,116,31,13,W 3,17510.0,2:09,,MIL,2024
45,Fri Jan 26 2024,8:00p,,Box Score,,Cleveland Cavaliers,L,,100,112,31,14,L 1,17855.0,2:27,,MIL,2024
46,Sat Jan 27 2024,8:00p,,Box Score,,New Orleans Pelicans,W,,141,117,32,14,W 1,17940.0,2:14,,MIL,2024
47,Mon Jan 29 2024,9:00p,,Box Score,@,Denver Nuggets,L,,107,113,32,15,L 1,19801.0,2:19,,MIL,2024
48,Wed Jan 31 2024,10:00p,,Box Score,@,Portland Trail Blazers,L,,116,119,32,16,L 2,19335.0,2:24,,MIL,2024
49,Sat Feb 3 2024,8:30p,,Box Score,@,Dallas Mavericks,W,,129,117,33,16,W 1,20377.0,2:18,,MIL,2024
